,mut15,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14
cell60,62,45,62,39,55,44,59,40,44,70,64,53,49,59,57
cell61,41,50,47,58,46,64,60,50,54,44,48,52,56,55,57
cell62,45,68,56,43,57,42,45,51,51,55,47,51,47,60,35
cell63,53,53,40,59,49,55,57,58,43,36,50,48,46,50,52
cell64,58,59,60,53,38,53,58,48,46,42,54,54,48,49,33
cell65,49,35,52,51,45,51,41,46,52,55,49,52,58,44,58
cell66,60,64,59,42,45,48,47,49,43,48,56,46,44,52,47
cell67,42,55,55,52,52,55,53,48,52,55,62,44,61,50,46
cell68,51,55,57,42,52,51,35,48,50,41,55,52,45,58,51
cell69,47,53,48,55,55,45,49,46,51,49,44,45,50,47,40
cell70,44,58,41,53,48,58,44,49,57,40,54,46,65,53,63
cell71,48,41,46,52,52,45,36,57,57,40,50,54,50,46,45
cell72,59,40,55,52,41,55,50,48,45,46,54,44,55,54,50
cell73,45,53,56,49,51,63,51,47,47,59,48,46,63,49,46
cell74,38,55,64,43,44,38,41,46,46,49,53,61,46,58,63
cell75,59,46,58,50,43,45,58,47,61,43,49,52,56,35,45
cell76,48,52,37,45,51,55,53,53,47,57,58,50,38,56,42
cell77,47,54,66,42,33,34,53,48,49,51,54,42,56,50,41
cell78,44,38,45,55,48,55,46,50,58,43,60,43,46,44,54
cell79,52,54,48,55,58,42,53,55,48,50,51,55,50,51,57
cell80,59,55,57,63,41,49,53,50,35,52,56,51,47,60,47
cell81,58,48,62,51,41,45,45,51,47,50,45,52,54,44,52
cell82,48,51,36,64,51,57,52,49,37,37,48,47,44,54,57
cell83,48,44,55,43,51,48,41,58,48,45,49,59,48,58,51
cell84,54,47,42,58,57,57,42,54,46,50,43,37,50,42,43
cell85,65,55,56,46,55,66,64,56,41,53,53,53,54,56,56
cell86,59,47,49,45,41,40,61,43,50,51,59,58,55,58,44
cell87,57,46,49,50,61,55,48,52,52,58,41,38,40,44,52
cell88,53,61,50,56,40,37,50,61,41,50,57,54,37,46,50
cell89,56,50,56,49,49,54,53,53,44,54,35,52,46,53,46
cell90,50,51,46,54,64,53,40,54,49,49,41,48,47,53,59
cell91,57,53,61,54,38,43,54,56,51,39,40,40,69,42,54
cell92,62,54,41,51,55,56,49,50,55,47,60,51,61,64,51
cell93,41,41,44,48,49,50,54,46,35,50,53,59,66,65,42
cell94,45,41,54,40,54,42,46,53,52,44,32,51,45,46,34
cell95,52,50,46,47,56,41,61,63,51,46,56,45,53,54,58
cell96,49,48,47,61,64,48,47,45,58,51,55,63,54,44,51
cell97,57,51,43,45,42,44,47,57,59,55,53,45,58,46,45
cell98,44,52,42,60,50,46,58,46,48,59,43,40,50,52,49
cell99,44,69,48,46,50,49,44,54,55,44,58,49,48,68,52
cell100,48,59,54,40,51,49,67,58,41,55,48,45,66,55,42
cell101,50,40,53,49,50,58,37,61,44,59,49,49,60,47,50
cell102,49,63,55,57,48,47,56,51,43,45,52,45,41,53,41
cell103,50,61,46,32,59,53,61,42,46,45,54,53,42,50,48
cell104,57,48,66,55,54,46,51,46,60,37,62,40,68,46,37
cell105,52,51,45,53,42,57,39,44,59,56,51,43,48,43,60
cell106,50,55,38,51,46,50,51,51,46,56,54,47,57,56,52
cell107,49,53,51,59,60,61,47,52,44,57,47,46,49,51,49
cell108,48,56,58,54,59,61,48,44,49,54,37,51,64,36,38
cell109,55,44,53,51,56,56,40,41,54,63,53,58,44,46,45
cell110,53,57,46,40,46,43,47,52,54,41,33,45,43,50,46
cell111,54,56,52,63,47,43,57,56,57,49,47,43,49,50,47
cell112,42,40,57,54,48,49,42,49,59,50,44,54,44,55,64
cell113,50,57,49,48,53,43,45,48,55,60,69,46,53,62,57
cell114,61,37,45,59,47,35,39,43,52,49,48,39,39,69,49
cell115,51,52,64,44,55,50,47,43,48,53,65,39,56,39,56
cell116,58,50,41,52,39,57,51,70,59,45,51,43,48,49,48
cell117,43,44,59,43,50,43,45,64,45,40,46,50,56,46,49
cell118,47,50,54,54,45,45,52,39,52,42,56,58,55,54,54
cell119,40,44,49,42,40,44,49,57,46,45,47,43,44,58,35
cell120,46,50,60,46,55,48,44,43,66,52,45,55,57,61,46
cell121,64,68,42,62,40,47,45,58,51,52,58,45,56,57,65
cell122,48,45,35,53,63,52,47,51,59,61,53,40,46,59,52
cell123,54,44,48,52,38,43,51,57,62,53,47,47,44,49,60
cell124,50,49,47,44,46,38,58,61,53,49,52,44,50,47,48
cell125,57,48,35,55,52,53,58,40,48,51,41,38,42,44,50
cell126,38,58,55,70,39,43,35,43,43,42,45,50,51,47,36
cell127,43,47,53,60,51,62,55,51,55,46,50,45,53,57,38
cell128,58,46,41,50,45,50,45,50,43,48,41,48,41,46,56
cell129,38,63,56,52,54,55,51,44,64,53,45,68,61,47,56
cell130,54,49,52,47,53,56,50,55,45,53,61,55,43,46,42
cell131,51,48,66,51,42,58,59,44,56,56,38,53,59,57,48
cell132,41,51,45,52,47,48,51,43,59,43,40,47,44,64,48
cell133,56,50,56,51,52,44,52,48,48,49,55,49,45,65,59
cell134,49,32,48,57,45,56,53,57,57,57,46,55,53,41,48
cell135,45,54,54,56,52,45,55,54,55,60,43,55,42,51,68
cell136,48,49,47,48,55,53,46,40,60,45,35,51,40,55,47
cell137,55,43,54,47,48,44,36,43,57,46,52,45,48,49,49
cell138,55,36,49,44,44,54,51,41,43,52,58,43,43,50,39
cell139,56,54,31,40,51,49,63,48,54,43,56,50,60,42,58
cell140,63,48,48,56,51,41,46,60,59,61,49,40,47,49,41
cell141,56,47,54,57,42,50,57,49,51,50,50,46,43,49,64
cell142,45,45,60,46,51,49,49,53,56,48,49,51,44,49,55
cell143,41,47,47,48,51,47,32,41,62,34,55,55,41,48,45
cell144,45,39,56,57,49,52,54,55,51,59,38,43,58,58,39
cell145,45,45,48,53,55,56,55,53,49,46,57,52,56,59,40
cell146,29,34,50,47,55,62,49,52,49,59,68,63,52,63,51
cell147,49,29,46,55,60,60,45,46,53,53,46,55,50,48,52
cell148,47,42,54,57,51,51,44,58,45,46,49,43,51,43,49
cell149,46,44,58,50,45,65,54,52,62,57,36,48,37,50,43
cell150,51,41,54,47,54,54,48,52,46,44,50,45,49,50,65
cell151,60,58,42,64,47,53,56,55,52,49,41,48,58,54,56
cell152,50,49,56,45,43,47,54,37,46,57,39,56,60,47,37
cell153,57,55,57,44,49,43,42,46,44,49,42,56,48,60,43
cell154,53,49,57,44,47,45,57,53,45,60,52,47,51,51,48
cell155,60,59,46,59,48,52,47,61,52,56,66,61,60,56,40
cell156,55,51,48,48,48,52,48,54,49,45,48,63,46,48,50
cell157,49,49,47,56,56,52,54,59,51,48,58,54,45,45,44
cell158,46,59,37,48,44,38,45,64,57,37,58,58,31,52,49
cell159,44,45,42,36,56,56,49,62,63,42,54,60,42,45,50
cell160,54,37,60,68,59,47,64,50,51,55,44,47,57,53,52
cell161,60,58,42,47,50,46,60,50,62,51,38,36,45,51,60
cell162,59,55,60,39,57,49,47,48,54,51,58,54,52,45,52
cell163,44,52,53,41,40,59,34,46,53,64,50,59,43,48,58
cell164,39,47,52,47,50,41,52,53,51,51,49,51,49,58,49
cell165,57,50,44,42,55,38,51,43,44,46,47,44,50,50,42
cell166,64,54,54,63,46,48,40,45,52,47,59,54,41,47,43
cell167,44,54,56,48,54,54,64,37,57,46,43,45,53,46,65
cell168,53,47,54,56,45,53,43,39,47,42,63,50,46,62,50
cell169,52,43,59,43,48,45,52,49,45,48,50,54,43,38,46
cell170,58,58,63,52,54,47,47,69,61,42,54,52,50,42,53
cell171,50,58,46,55,51,64,61,40,51,60,64,56,53,50,49
cell172,47,47,50,45,67,40,51,52,49,50,42,58,51,62,47
cell173,50,64,41,51,44,51,50,49,47,41,48,37,36,57,50
cell174,55,51,43,59,56,51,46,49,47,49,53,44,37,48,55
cell175,52,52,41,58,53,60,52,59,61,46,51,46,47,58,50
cell176,36,48,33,58,52,55,45,47,48,56,48,49,48,65,50
cell177,51,48,49,57,54,39,58,52,42,55,55,59,52,61,60
cell178,63,57,50,40,56,41,45,51,49,54,69,52,42,58,51
cell179,58,42,50,47,60,54,41,50,44,43,59,37,43,58,52
cell180,44,55,44,34,53,45,49,43,47,45,54,38,51,53,54
cell181,39,47,58,41,50,54,59,46,50,45,52,44,47,45,56
cell182,53,46,49,46,47,50,59,53,41,51,54,47,42,48,53
cell183,53,48,38,50,37,56,53,66,41,46,53,55,43,56,40
cell184,54,50,47,46,56,61,51,49,53,48,58,42,52,46,54
cell185,52,53,38,48,44,56,50,51,44,38,53,62,69,47,43
cell186,47,57,38,45,51,53,36,55,44,53,58,44,46,46,52
cell187,47,60,50,68,59,53,46,41,40,51,50,51,48,57,46
cell188,45,49,49,48,62,43,65,50,53,49,50,47,52,51,48
cell189,49,52,49,41,51,60,38,50,49,52,58,41,35,47,51
cell190,39,46,61,61,54,47,38,55,37,43,60,47,56,54,50
cell191,43,43,58,49,44,54,51,62,50,51,49,38,43,40,60
cell192,43,54,44,46,35,35,49,48,52,45,38,50,41,45,64
cell193,46,34,61,55,58,46,49,45,50,44,43,50,42,62,58
cell194,59,54,42,56,34,56,38,60,55,69,39,52,49,51,46
cell195,46,57,56,51,54,43,61,56,57,45,49,31,52,49,68
cell196,42,47,54,44,61,43,56,38,54,52,51,50,45,46,42
cell197,57,50,45,38,43,47,45,46,49,52,53,50,49,49,38
cell198,59,50,60,52,50,47,72,55,44,62,53,63,54,52,48
cell199,47,48,54,48,49,56,50,38,48,51,45,47,51,52,60
cell200,57,50,56,39,55,50,51,54,56,44,46,46,51,51,51
cell201,59,46,53,49,55,49,51,57,50,49,52,49,43,51,46
cell202,52,45,51,55,46,45,41,61,56,38,42,34,59,46,51
cell203,45,48,53,51,55,48,45,52,48,60,53,57,54,60,47
cell204,56,56,46,49,44,56,48,56,52,53,49,66,43,51,41
cell205,38,52,44,65,41,57,42,41,55,51,59,51,59,54,44
cell206,45,39,42,47,51,40,43,49,53,51,40,45,41,42,38
cell207,54,66,45,57,49,59,54,52,44,38,49,60,57,53,43
cell208,49,47,60,58,46,67,49,53,51,54,46,46,51,56,51
cell209,43,55,55,45,35,66,45,53,53,50,53,52,48,54,43
cell210,55,54,52,47,48,51,47,43,41,43,48,51,47,50,38
cell211,44,45,55,51,60,57,44,61,45,58,56,48,60,48,59
cell212,58,56,46,40,60,57,60,57,46,43,55,56,55,53,52
cell213,40,54,39,52,55,64,54,51,57,43,61,45,52,49,55
cell214,48,52,64,42,50,41,54,48,55,44,52,53,31,41,54
cell215,53,47,46,52,44,45,52,48,67,56,50,53,47,46,42
cell216,55,46,55,59,54,49,48,48,48,36,64,55,57,36,57
cell217,56,52,47,36,40,54,53,51,57,54,47,41,50,49,45
cell218,57,52,54,41,60,56,36,43,54,37,46,42,41,37,37
cell219,58,60,50,43,38,48,46,48,48,52,50,54,48,42,64
cell220,46,54,38,56,50,61,61,50,50,42,36,52,49,48,50
cell221,63,38,48,56,43,55,58,48,43,48,51,51,52,41,53
cell222,50,46,61,48,58,45,43,70,49,54,56,63,52,54,48
cell223,54,53,41,50,56,38,51,58,44,48,48,54,50,55,52
cell224,58,59,48,48,52,53,58,52,59,47,40,42,48,55,50
cell225,40,34,48,48,55,50,55,48,55,40,45,44,53,55,53
cell226,56,62,46,45,49,55,41,43,48,49,46,42,54,47,68
cell227,66,62,39,46,53,52,45,52,54,52,55,57,56,58,55
cell228,50,43,43,45,54,55,61,42,58,58,48,51,52,55,63
cell229,48,43,48,48,48,52,55,41,47,59,56,51,51,48,56
cell230,49,52,61,58,59,32,41,66,46,39,47,53,47,54,59
cell231,48,51,56,46,41,51,53,50,51,58,38,44,57,41,56
cell232,49,52,45,58,56,41,52,54,52,53,49,62,45,53,49
cell233,55,59,49,68,46,54,45,54,51,34,47,50,47,44,51
cell234,52,61,60,37,48,47,46,67,58,55,49,36,46,60,56
cell235,40,56,54,46,48,44,46,49,49,63,50,53,54,59,51
cell236,56,53,39,60,55,50,61,42,44,48,54,44,52,52,64
cell237,49,50,47,47,51,45,63,57,60,56,44,44,46,62,37
cell238,49,58,57,50,55,60,50,48,43,44,42,42,46,58,55
cell239,48,53,46,45,53,31,37,55,56,52,56,65,39,42,68
cell240,51,54,49,55,44,52,50,58,59,42,49,59,44,41,50
cell241,44,58,44,40,45,41,54,52,54,52,41,56,45,47,45
cell242,46,55,44,43,53,46,45,43,47,43,51,56,57,41,49
cell243,54,48,58,52,43,47,50,54,54,61,54,58,45,49,49
cell244,42,51,46,47,36,55,42,52,58,52,47,59,49,57,51
cell245,61,33,58,53,55,42,36,39,53,50,54,54,43,33,43
cell246,41,53,49,38,53,40,57,51,61,36,53,63,52,53,45
cell247,58,43,52,50,47,51,47,45,47,48,60,46,55,55,43
cell248,41,52,55,53,50,36,50,53,59,65,46,60,50,54,52
cell249,46,53,44,57,60,44,46,53,47,49,53,61,46,52,56
cell250,50,47,51,52,46,46,41,57,54,48,43,56,64,41,43
cell251,54,54,51,50,52,53,59,44,44,36,40,45,45,62,54
cell252,43,41,61,58,39,46,52,40,43,44,45,56,50,51,43
cell253,56,49,55,55,51,55,59,50,57,48,54,45,43,55,38
cell254,47,57,49,52,48,51,47,40,46,45,52,55,45,55,55
cell255,52,46,57,42,64,49,66,57,62,48,45,58,56,53,44
cell256,45,47,54,49,52,41,44,47,50,46,65,61,51,53,41
cell257,42,50,57,56,55,57,43,54,42,45,49,57,44,56,47
cell258,35,56,59,53,56,55,54,47,47,50,50,37,58,61,44
cell259,62,45,52,59,47,50,47,54,53,48,49,56,51,54,57
cell260,43,44,58,54,58,46,43,51,41,52,55,55,46,51,42
cell261,46,47,49,57,53,49,64,40,55,55,56,57,66,46,56
cell262,62,52,56,52,55,49,52,49,43,50,43,47,43,52,38
cell263,56,55,52,47,50,49,43,49,56,44,54,62,55,41,66
cell264,42,46,53,44,53,53,43,49,52,53,40,61,59,47,62
cell265,51,47,56,64,51,51,53,44,48,52,56,51,45,51,55
cell266,50,59,66,49,46,51,59,44,50,44,45,54,58,53,49
cell267,53,51,64,72,54,53,56,37,48,55,51,53,52,37,55
cell268,50,56,46,51,47,44,38,57,41,48,40,47,39,45,55
cell269,47,61,48,69,40,45,50,42,52,46,59,55,42,57,46
cell270,44,42,46,54,38,50,40,52,55,52,59,43,54,43,46
cell271,44,66,55,44,51,65,49,47,55,52,51,57,61,54,45
cell272,57,40,54,56,39,38,51,32,49,69,44,46,47,50,42
cell273,44,44,48,49,44,55,46,38,60,51,70,45,55,44,35
cell274,56,48,49,48,54,37,58,51,49,46,55,42,51,61,48
cell275,54,51,55,49,55,38,40,46,41,46,53,53,36,61,57
cell276,45,65,39,55,45,51,56,47,57,56,49,35,49,60,68
cell277,49,58,62,44,41,49,60,48,57,47,51,50,46,57,34
cell278,46,43,51,50,53,54,38,33,40,56,57,42,46,54,50
cell279,63,57,50,49,43,43,51,59,55,52,52,62,61,39,53
cell280,48,46,57,52,55,49,47,41,46,39,48,36,56,49,46
cell281,48,35,56,43,50,38,50,54,59,47,46,66,47,52,51
cell282,39,42,45,47,58,61,56,58,59,45,57,41,48,42,42
cell283,58,55,44,54,43,49,47,49,48,51,50,50,50,58,60
cell284,51,46,69,56,39,73,65,48,33,48,52,49,48,54,50
cell285,44,49,53,41,45,44,48,45,49,54,51,49,54,53,54
cell286,47,44,46,45,46,53,49,52,42,56,40,57,42,50,50
cell287,45,52,54,40,58,48,45,43,52,47,50,40,49,52,58
cell288,49,59,51,49,47,56,55,51,56,53,53,52,53,46,51
cell289,50,58,44,45,52,40,49,51,43,50,49,47,53,43,58
cell290,59,60,57,44,37,48,51,39,57,45,52,59,42,52,47
cell291,54,54,54,40,53,53,50,54,38,57,48,66,46,40,44
cell292,54,43,60,44,46,55,42,40,53,57,60,30,48,55,43
cell293,64,44,46,53,55,49,46,36,57,53,48,54,60,33,56
cell294,61,56,54,53,48,37,50,56,40,41,60,50,54,41,46
cell295,49,49,52,54,41,58,41,49,53,40,54,49,53,44,45
cell296,48,42,55,48,58,50,54,40,50,48,46,43,45,45,36
cell297,53,50,45,42,58,53,47,48,45,53,56,46,50,40,51
cell298,55,49,57,41,51,57,45,44,40,46,48,53,48,54,43
cell299,51,56,51,49,56,58,44,40,55,46,43,67,52,42,53
cell300,46,48,41,43,49,53,51,51,52,47,55,57,50,53,43
cell301,53,42,49,44,55,65,43,53,41,53,47,52,49,60,35
cell302,48,51,50,45,46,35,56,51,43,46,52,38,43,51,50
cell303,49,50,46,40,52,52,66,48,54,65,54,48,53,60,41
cell304,55,57,47,42,46,52,52,44,51,48,47,45,44,58,44
cell305,35,45,38,45,56,54,57,47,51,44,55,48,55,50,48
cell306,57,57,51,47,47,52,56,59,49,43,62,60,47,54,52
cell307,55,51,38,51,50,38,49,46,48,51,56,60,43,58,49
cell308,50,51,40,53,46,56,60,42,55,52,41,58,36,52,47
cell309,48,55,49,53,49,43,40,47,48,54,61,38,45,49,55
cell310,41,60,48,41,51,48,53,56,43,55,51,38,42,53,52
cell311,42,41,47,43,56,64,52,46,51,49,36,50,43,54,49
cell312,46,48,55,54,38,44,62,49,36,55,55,60,38,47,51
cell313,47,54,45,46,36,49,59,36,54,46,39,52,45,55,42
cell314,35,55,53,37,43,41,57,43,51,53,40,53,57,49,53
cell315,54,47,51,49,56,47,47,46,52,45,57,49,47,48,42
cell316,66,49,38,49,52,44,41,54,63,40,57,59,48,52,40
cell317,44,57,46,41,57,56,47,44,58,47,49,39,53,38,45
cell318,44,48,42,68,51,45,42,46,53,45,47,46,65,39,47
cell319,63,59,53,51,41,64,65,46,61,46,45,45,52,53,47
cell320,48,44,44,43,43,50,52,41,56,48,58,50,49,47,45
cell321,59,55,57,45,48,39,54,46,55,52,38,46,59,63,55
cell322,43,59,39,53,54,61,45,54,39,29,47,46,53,41,41
cell323,54,59,49,47,68,54,45,43,46,43,51,47,45,52,42
cell324,70,54,49,58,55,41,45,50,60,45,57,46,54,54,49
cell325,44,49,55,65,56,49,57,34,58,51,52,49,54,60,62
cell326,41,57,33,58,57,56,47,34,46,44,39,38,46,46,53
cell327,53,53,46,46,50,50,57,41,40,56,53,52,47,45,56
cell328,44,48,49,36,48,47,49,44,52,57,54,42,41,43,55
cell329,50,47,51,60,43,48,61,49,42,51,47,63,54,58,49
cell330,55,54,41,59,51,48,56,50,47,61,48,47,45,58,58
cell331,50,41,53,47,53,56,63,49,48,35,62,48,51,41,44
cell332,45,55,48,47,56,64,47,52,51,50,44,58,48,53,36
cell333,54,57,45,60,53,51,48,53,50,58,46,46,47,43,49
cell334,53,59,37,57,54,47,50,38,43,49,51,55,47,40,55
cell335,47,58,53,41,51,44,46,42,52,55,45,48,50,42,42
cell336,48,45,54,51,36,55,55,45,44,59,63,50,53,35,56
cell337,46,56,56,41,60,51,46,41,52,54,52,44,49,52,52
cell338,37,44,57,41,65,49,48,49,47,45,51,47,48,53,61
cell339,56,49,50,57,56,45,62,54,45,47,58,48,55,46,60
cell340,58,45,46,47,45,50,64,47,55,47,53,50,49,59,57
cell341,47,42,38,45,41,45,50,42,45,50,59,42,47,47,48
cell342,45,57,46,41,42,54,41,55,48,52,48,42,56,63,43
cell343,42,58,42,50,46,46,50,58,65,48,46,48,47,68,54
cell344,62,56,43,50,57,49,52,51,50,40,56,43,55,48,45
cell345,49,42,47,52,48,52,50,40,49,52,51,39,53,46,60
cell346,45,48,64,53,44,54,43,38,45,44,56,46,59,47,49
cell347,65,55,62,47,44,46,55,63,55,34,50,60,62,51,49
cell348,55,41,63,46,51,50,40,48,46,40,61,43,46,45,66
cell349,53,48,49,46,63,50,47,58,59,46,41,56,51,39,44
cell350,46,53,64,27,46,49,55,54,53,64,47,48,45,61,48
cell351,57,69,51,44,48,53,50,48,53,40,62,54,65,47,50
cell352,51,49,62,47,51,66,53,44,47,35,53,50,43,33,53
cell353,64,46,37,57,55,73,53,40,56,48,47,45,39,51,38
cell354,49,53,54,65,59,48,45,47,49,60,50,46,49,53,47
cell355,50,42,51,57,60,47,43,62,47,56,46,53,52,44,48
cell356,52,55,58,46,61,46,63,46,54,63,57,60,49,35,55
cell357,48,56,68,52,55,62,55,59,39,39,45,54,51,47,51
cell358,40,55,43,46,38,41,61,39,55,40,45,45,43,48,44
cell359,48,56,49,63,63,56,55,51,45,35,46,63,40,45,43
cell360,53,45,60,54,51,61,56,46,44,45,49,54,49,57,47
cell361,47,50,46,55,42,54,47,50,42,54,53,44,38,53,50
cell362,45,48,51,51,45,49,48,53,44,62,55,61,40,40,58
cell363,59,47,47,63,50,51,59,54,48,54,60,39,56,46,55
cell364,47,59,58,54,58,47,44,52,50,47,46,41,50,53,50
cell365,54,47,41,46,49,46,49,47,53,57,47,54,56,45,41
cell366,52,47,56,52,40,48,54,43,48,47,58,51,45,46,38
cell367,50,42,50,59,45,55,59,56,42,59,54,45,57,58,55
cell368,41,51,59,51,39,41,54,59,53,47,50,40,39,55,46
cell369,44,56,45,39,51,51,54,70,51,62,51,48,54,43,68
cell370,55,49,48,38,42,48,51,49,46,48,47,55,44,58,49
cell371,40,45,52,69,40,58,45,60,54,60,52,42,47,40,54
cell372,45,38,49,47,40,48,51,46,53,55,54,55,53,55,56
cell373,52,57,39,51,58,50,59,52,50,46,51,50,57,40,59
cell374,56,59,45,59,64,50,49,47,49,57,53,49,52,50,49
cell375,51,54,63,40,43,37,56,45,55,41,51,49,45,57,51
cell376,50,57,53,40,52,48,48,49,58,61,51,46,62,60,38
cell377,61,37,51,33,53,47,58,48,54,56,47,45,52,46,46
cell378,54,53,59,56,53,59,64,40,36,41,47,49,39,42,51
cell379,39,53,51,44,64,44,40,55,70,46,64,48,55,41,58
cell380,58,50,46,58,44,57,51,47,50,51,54,47,43,52,42
cell381,42,45,43,45,49,58,47,54,36,47,40,38,61,58,42
cell382,48,48,61,43,63,51,56,44,59,54,37,48,58,52,56
cell383,43,45,49,47,47,62,45,55,57,48,53,43,48,47,52
cell384,40,56,63,45,47,55,44,40,55,35,48,55,49,48,57
cell385,40,56,50,50,56,50,43,61,46,55,59,55,49,45,51
cell386,55,48,51,52,39,43,64,46,75,48,51,55,39,47,63
cell387,48,54,57,61,53,54,39,52,41,52,44,47,51,56,51
cell388,52,50,43,45,57,59,54,50,46,42,54,58,42,51,56
cell389,62,44,43,52,43,42,50,38,51,31,57,53,53,49,68
cell390,41,41,54,46,60,60,37,59,51,49,49,55,57,44,46
cell391,53,41,48,63,55,46,54,43,51,50,55,45,55,44,63
cell392,45,41,45,50,32,56,47,46,53,34,44,55,56,54,67
cell393,57,50,39,49,43,51,45,44,47,51,61,44,58,47,69
cell394,50,61,53,54,43,55,60,50,55,43,41,47,55,48,59
cell395,53,62,44,58,43,47,55,45,40,52,43,40,52,52,42
cell396,37,55,52,57,60,49,66,47,45,53,62,29,54,50,54
cell397,55,65,52,57,44,55,50,46,46,42,43,43,40,56,53
cell398,46,54,49,53,47,43,44,52,39,53,57,59,47,56,60
cell399,37,48,58,54,66,45,50,44,47,49,57,63,58,48,49
cell400,43,48,39,36,47,57,54,53,46,47,53,46,62,59,62
cell401,40,51,60,55,53,64,46,51,46,51,52,48,57,59,64
cell402,48,43,56,53,51,46,54,42,33,59,58,54,47,53,45
cell403,46,42,46,43,42,34,60,41,47,47,54,57,49,41,49
cell404,54,51,47,55,36,47,49,42,56,52,50,62,45,49,59
cell405,43,51,40,53,51,40,47,48,63,60,39,38,49,34,42
cell406,48,47,45,51,48,47,49,56,48,68,47,42,58,46,52
cell407,54,42,48,41,61,59,51,48,49,45,48,60,61,53,55
cell408,50,52,47,40,46,56,40,46,56,53,52,48,40,53,35
