,mut5,mut1,mut2,mut3,mut4
cell233,52,56,35,45,45
cell234,53,49,44,43,51
cell235,55,40,47,54,62
cell236,36,32,37,42,39
cell237,56,51,42,52,50
cell238,49,49,47,45,53
cell239,46,38,47,64,40
cell240,53,61,54,42,48
cell241,49,64,50,55,47
cell242,51,47,64,46,57
cell243,52,51,56,48,42
cell244,49,63,56,44,47
cell245,58,54,50,42,56
cell246,63,51,41,51,49
cell247,51,39,50,50,43
cell248,50,45,41,50,37
cell249,47,49,47,44,49
cell250,46,52,56,58,55
cell251,57,43,44,51,57
cell252,39,54,55,50,48
cell253,40,51,56,58,50
cell254,55,42,43,43,47
cell255,40,47,58,55,45
cell256,46,55,44,64,48
cell257,50,53,55,46,66
cell258,45,39,53,44,57
cell259,41,46,39,39,70
cell260,45,58,45,64,55
cell261,50,65,53,45,38
cell262,54,60,36,45,42
cell263,55,46,40,44,50
cell264,47,41,46,48,50
cell265,41,54,39,58,52
cell266,67,55,53,49,55
cell267,46,57,58,58,61
cell268,56,44,44,65,50
cell269,45,48,54,56,60
cell270,51,48,45,64,45
cell271,63,46,38,50,50
cell272,47,46,40,55,56
cell273,65,60,52,52,63
cell274,56,50,47,56,49
cell275,42,41,36,48,53
cell276,56,60,47,49,56
cell277,42,38,53,54,40
cell278,61,49,34,48,49
cell279,41,43,52,54,49
cell280,43,48,44,53,64
cell281,61,56,55,43,54
cell282,64,42,56,45,49
cell283,61,56,66,54,49
cell284,46,45,52,48,42
cell285,48,57,37,40,42
cell286,55,55,46,51,39
cell287,55,46,52,41,50
cell288,58,60,52,59,46
cell289,54,48,35,42,44
cell290,55,52,55,55,52
cell291,56,43,54,55,50
cell292,40,42,46,50,48
cell293,44,60,45,52,52
cell294,36,43,44,55,37
cell295,52,43,44,44,60
cell296,51,37,46,53,50
cell297,59,49,41,48,47
cell298,59,62,44,69,57
cell299,66,65,45,54,53
cell300,41,48,45,47,64
cell301,36,40,44,43,48
cell302,49,59,50,40,64
cell303,46,54,48,44,42
cell304,55,58,41,48,52
cell305,49,52,49,55,47
cell306,41,38,51,52,43
cell307,50,41,52,57,58
cell308,66,49,57,57,62
cell309,53,57,57,43,50
cell310,49,48,44,59,44
cell311,43,42,61,52,55
cell312,50,51,51,44,38
cell313,53,36,51,46,44
cell314,48,48,41,55,52
cell315,46,37,66,55,46
cell316,57,55,57,43,48
cell317,45,67,45,49,44
cell318,37,44,51,40,40
cell319,51,49,59,50,54
cell320,45,45,52,52,60
cell321,47,42,44,55,57
cell322,38,50,55,47,50
cell323,49,65,48,62,45
cell324,49,46,46,45,50
cell325,49,56,56,56,66
cell326,53,59,55,49,46
cell327,52,58,56,49,50
cell328,62,38,54,58,41
cell329,53,52,51,46,48
cell330,44,51,54,40,39
cell331,45,42,55,60,58
cell332,52,56,56,53,46
cell333,52,50,47,57,51
cell334,48,44,48,54,54
cell335,54,54,50,56,59
cell336,54,52,53,42,43
cell337,58,41,45,56,50
cell338,55,65,48,42,42
cell339,60,37,54,53,45
cell340,44,50,58,55,55
cell341,57,57,53,45,57
cell342,41,47,48,44,50
cell343,50,43,56,48,56
cell344,55,38,52,58,55
cell345,40,44,55,47,41
cell346,51,41,50,56,56
cell347,56,42,61,55,49
cell348,62,46,51,51,44
cell349,52,54,54,49,42
cell350,46,54,32,58,47
cell351,57,42,44,39,43
cell352,44,48,42,55,52
cell353,53,60,57,46,58
cell354,52,46,50,42,51
cell355,45,40,55,47,45
cell356,36,41,49,40,56
cell357,59,54,48,62,44
cell358,49,42,48,51,51
cell359,42,50,42,53,67
cell360,40,43,55,52,48
cell361,40,52,53,59,65
cell362,52,38,50,46,47
cell363,56,52,64,57,54
cell364,55,48,46,59,63
cell365,38,56,44,45,53
cell366,46,51,55,46,55
cell367,57,60,51,56,65
cell368,53,55,48,55,47
cell369,50,38,36,61,39
cell370,59,70,47,58,47
cell371,60,41,44,46,38
cell372,45,50,50,62,49
cell373,51,52,48,45,64
cell374,48,50,41,58,54
cell375,46,54,45,44,59
cell376,38,50,46,46,61
cell377,57,42,61,56,42
cell378,55,45,41,59,52
cell379,60,55,46,50,55
cell380,47,48,47,57,51
cell381,59,35,59,47,57
cell382,52,54,49,56,40
cell383,58,60,54,55,38
cell384,57,50,44,42,41
cell385,50,58,55,48,46
cell386,56,47,50,44,46
cell387,47,49,38,32,40
cell388,44,53,51,58,36
cell389,49,45,36,51,44
cell390,59,44,57,46,49
cell391,40,62,43,46,44
cell392,50,39,46,51,65
cell393,43,43,51,51,47
cell394,51,47,42,40,53
cell395,45,55,58,58,49
cell396,49,53,57,51,57
cell397,43,63,52,57,55
cell398,54,40,45,41,46
cell399,56,52,58,56,58
cell400,53,52,41,40,47
cell401,56,51,51,48,50
cell402,49,35,45,54,49
cell403,44,37,50,48,46
cell404,50,49,52,54,52
cell405,54,39,43,61,64
cell406,43,49,50,43,46
cell407,49,45,44,57,56
cell408,51,50,56,61,53
cell409,41,39,51,45,41
cell410,54,50,47,42,45
cell411,44,50,52,43,50
cell412,52,51,35,52,46
cell413,54,59,41,41,58
cell414,56,64,49,35,47
cell415,52,57,43,53,41
cell416,46,47,51,42,59
cell417,62,59,42,49,45
cell418,63,52,45,46,37
cell419,44,54,54,58,54
cell420,53,44,48,50,45
cell421,58,49,49,38,32
cell422,55,59,54,34,41
cell423,45,41,44,44,47
cell424,51,46,46,41,46
cell425,59,54,50,61,54
cell426,54,44,49,59,50
cell427,45,54,59,55,46
cell428,49,54,48,48,43
cell429,55,41,49,50,48
cell430,51,44,52,39,43
cell431,56,55,66,44,52
cell432,58,51,47,44,48
cell433,55,50,51,58,58
cell434,58,40,44,62,55
cell435,56,39,47,49,45
cell436,51,50,62,52,56
cell437,56,56,39,45,45
cell438,46,53,46,48,38
cell439,57,55,40,50,52
cell440,56,35,48,52,39
cell441,55,37,36,56,47
cell442,51,48,54,44,58
cell443,38,63,67,49,38
cell444,37,41,41,54,36
cell445,61,50,55,48,54
cell446,49,40,44,43,66
cell447,47,42,50,39,56
cell448,57,40,40,45,65
cell449,60,56,50,55,54
cell450,51,58,61,53,50
cell451,48,53,50,47,46
cell452,54,46,48,52,59
cell453,47,53,52,62,55
cell454,55,45,43,45,61
cell455,61,56,48,43,52
cell456,47,46,50,35,49
cell457,38,53,56,47,51
cell458,35,55,42,46,42
cell459,49,46,48,55,39
cell460,56,35,51,41,49
cell461,42,44,59,61,47
cell462,54,49,43,46,50
cell463,45,47,32,50,40
cell464,46,47,42,48,40
cell465,59,58,45,42,55
cell466,50,51,55,55,42
cell467,49,57,43,52,49
cell468,51,39,45,54,47
cell469,49,54,51,44,43
cell470,50,64,53,61,40
cell471,47,52,52,48,49
cell472,39,74,40,45,45
cell473,58,53,39,48,54
cell474,46,54,60,47,49
cell475,78,46,56,40,42
cell476,54,58,43,45,52
cell477,48,52,51,51,48
cell478,47,48,56,60,54
cell479,45,45,59,58,49
cell480,53,62,56,49,54
cell481,49,51,55,51,45
cell482,49,53,48,53,41
cell483,53,52,47,70,42
cell484,60,51,56,45,50
cell485,57,50,49,48,52
cell486,50,49,39,39,57
cell487,52,65,48,43,50
cell488,52,52,58,44,50
cell489,40,55,51,57,47
cell490,44,59,55,57,49
cell491,51,51,46,53,49
cell492,46,37,42,65,57
cell493,49,63,48,50,33
cell494,55,51,51,51,47
cell495,65,47,46,37,51
cell496,38,64,61,48,36
cell497,40,51,61,45,60
cell498,60,44,57,52,65
cell499,34,45,41,49,47
cell500,55,57,50,46,46
