,mut5,mut1,mut2,mut3,mut4
cell100,45,49,43,56,50
cell101,51,54,60,46,54
cell102,46,61,61,52,49
cell103,43,59,43,52,44
cell104,46,39,54,45,47
cell105,53,47,54,49,44
cell106,50,48,45,49,56
cell107,41,49,34,46,51
cell108,48,56,37,50,53
cell109,59,56,47,57,57
cell110,46,51,54,56,53
cell111,51,51,55,52,57
cell112,55,43,52,44,51
cell113,37,48,38,58,47
cell114,58,47,48,41,40
cell115,53,51,60,50,56
cell116,53,42,54,58,40
cell117,47,59,49,51,51
cell118,46,44,36,45,42
cell119,48,50,52,61,49
cell120,36,58,58,51,39
cell121,55,50,49,42,51
cell122,47,50,54,48,56
cell123,47,58,61,58,52
cell124,46,38,56,53,50
cell125,45,47,55,52,50
cell126,50,49,52,43,57
cell127,48,56,40,55,51
cell128,60,44,37,50,49
cell129,60,39,61,45,40
cell130,64,36,45,44,38
cell131,56,34,49,40,50
cell132,48,54,48,43,55
cell133,50,38,51,50,53
cell134,54,48,52,43,49
cell135,52,50,62,41,42
cell136,59,52,52,40,53
cell137,48,62,52,42,44
cell138,53,47,47,51,51
cell139,51,49,50,59,53
cell140,47,46,57,45,50
cell141,43,55,49,38,43
cell142,57,54,34,54,62
cell143,43,49,40,71,58
cell144,46,46,34,42,36
cell145,45,49,54,46,51
cell146,48,39,61,48,34
cell147,48,42,47,53,42
cell148,47,53,50,45,46
cell149,59,35,58,47,51
cell150,49,41,52,53,46
cell151,64,53,46,46,48
cell152,53,58,51,55,58
cell153,52,47,51,60,46
cell154,56,45,50,53,43
cell155,42,49,48,46,57
cell156,35,47,41,46,48
cell157,56,41,52,54,61
cell158,38,49,53,47,33
cell159,31,47,65,50,43
cell160,66,47,49,39,41
cell161,52,34,60,45,61
cell162,51,50,51,41,46
cell163,52,61,41,65,52
cell164,63,46,46,59,50
cell165,49,49,50,64,46
cell166,49,55,52,65,42
cell167,53,50,32,50,51
cell168,52,52,44,54,64
cell169,60,47,50,51,45
cell170,48,50,49,46,42
cell171,63,59,51,45,48
cell172,53,66,46,54,46
cell173,36,46,51,47,55
cell174,50,47,42,48,59
cell175,52,45,54,53,49
cell176,48,41,38,51,37
cell177,48,57,40,56,51
cell178,50,49,61,43,43
cell179,53,62,42,59,58
cell180,58,52,64,41,45
cell181,54,48,58,55,52
cell182,53,60,44,62,57
cell183,52,53,48,51,55
cell184,46,38,49,52,39
cell185,52,53,62,49,40
cell186,62,50,49,60,44
cell187,53,56,60,47,52
cell188,47,45,58,47,51
cell189,46,50,57,47,57
cell190,48,52,49,41,44
cell191,40,39,52,57,51
cell192,54,49,48,41,55
cell193,62,52,44,46,40
cell194,41,41,45,51,50
cell195,57,52,40,42,47
cell196,49,59,53,49,46
cell197,40,50,46,48,52
cell198,51,55,58,57,65
cell199,42,46,44,50,48
cell200,39,46,54,48,63
cell201,59,50,51,46,42
cell202,51,48,43,38,56
cell203,53,49,53,50,50
cell204,46,53,67,54,54
cell205,44,47,53,55,48
cell206,49,46,62,51,54
cell207,57,43,53,55,50
cell208,66,51,51,43,57
cell209,58,54,45,43,58
cell210,58,52,63,54,74
cell211,49,45,52,51,61
cell212,62,51,39,53,60
cell213,64,46,47,51,61
cell214,50,46,54,59,53
cell215,47,46,60,46,59
cell216,53,50,45,53,66
cell217,49,58,50,45,41
cell218,62,52,48,51,63
cell219,49,54,49,47,52
cell220,43,50,50,62,46
cell221,47,49,61,50,59
cell222,47,39,52,45,47
cell223,57,42,53,43,51
cell224,57,41,45,54,57
cell225,46,36,47,47,37
cell226,56,45,43,37,45
cell227,46,47,46,54,44
cell228,52,43,52,58,43
cell229,56,49,61,56,44
cell230,58,43,47,64,42
cell231,52,49,55,60,43
cell232,54,37,41,45,56
cell233,54,44,47,55,51
cell234,44,58,53,47,63
cell235,44,49,61,35,54
cell236,44,51,58,46,56
cell237,53,55,39,52,47
cell238,41,52,64,66,50
cell239,54,40,38,38,42
cell240,54,54,58,38,37
cell241,49,45,56,56,46
cell242,44,44,61,54,60
cell243,47,57,51,52,55
cell244,39,46,41,49,47
cell245,35,55,41,55,55
cell246,48,52,51,45,48
cell247,48,46,48,58,43
cell248,51,53,43,64,60
cell249,46,61,55,45,56
cell250,50,45,50,49,49
cell251,47,49,50,49,44
cell252,37,57,43,47,42
cell253,44,58,56,44,56
cell254,56,51,43,47,57
cell255,55,51,49,48,52
cell256,62,50,46,44,46
cell257,49,45,48,66,40
cell258,51,47,46,56,71
cell259,55,45,47,65,47
cell260,58,46,49,56,37
cell261,52,58,56,52,49
cell262,57,56,67,43,47
cell263,52,36,64,59,43
cell264,56,39,59,42,47
cell265,52,51,53,40,43
cell266,43,54,48,54,51
cell267,56,56,49,58,33
cell268,45,48,45,50,44
cell269,53,49,54,52,58
cell270,35,50,46,56,54
cell271,59,55,51,51,49
cell272,42,54,56,66,55
cell273,50,51,54,47,47
cell274,45,61,49,56,44
cell275,45,51,57,46,42
cell276,47,60,52,48,52
cell277,52,34,47,53,44
cell278,53,40,36,61,59
cell279,57,55,51,64,56
cell280,48,32,43,40,28
cell281,44,44,52,43,56
cell282,39,59,41,55,44
cell283,49,53,56,65,63
cell284,65,37,48,39,57
cell285,59,60,55,43,51
cell286,48,51,45,49,58
cell287,44,53,47,54,39
cell288,52,48,46,57,43
cell289,54,41,46,63,47
cell290,56,61,40,47,54
cell291,46,56,55,61,49
cell292,47,59,52,48,41
cell293,41,59,52,51,41
cell294,60,52,51,57,52
cell295,45,54,44,51,57
cell296,50,42,49,61,53
cell297,42,56,51,36,39
cell298,50,52,66,56,37
cell299,53,59,38,41,46
cell300,62,43,46,49,66
cell301,63,57,51,60,47
cell302,46,53,42,54,58
cell303,52,53,47,48,60
cell304,49,46,66,49,46
cell305,44,49,45,57,53
cell306,60,42,30,60,48
cell307,56,57,51,48,44
cell308,51,51,45,57,45
cell309,46,74,50,50,52
cell310,38,61,44,48,52
cell311,58,48,35,42,60
cell312,56,61,53,51,54
cell313,46,51,53,54,59
cell314,42,43,48,36,58
cell315,50,48,48,43,37
cell316,57,42,39,49,63
cell317,57,53,52,52,50
cell318,53,48,46,55,52
cell319,63,51,42,50,46
cell320,53,56,54,44,48
cell321,43,53,46,52,39
cell322,56,40,56,54,63
cell323,34,58,54,50,63
cell324,53,35,65,48,60
cell325,47,52,55,56,55
cell326,61,38,53,56,41
cell327,52,63,48,52,47
cell328,61,46,48,55,48
cell329,59,47,46,57,58
cell330,37,53,53,44,37
cell331,64,56,57,53,33
cell332,56,53,41,46,55
cell333,61,47,43,52,61
cell334,39,38,69,49,50
cell335,50,42,46,46,48
cell336,52,49,42,44,45
cell337,50,70,50,55,59
cell338,53,46,46,55,55
cell339,52,50,42,65,41
cell340,57,56,47,42,56
cell341,61,59,51,56,63
cell342,47,43,58,33,58
cell343,47,46,49,43,49
cell344,50,59,41,47,45
cell345,41,56,54,50,43
cell346,44,46,62,53,42
cell347,36,44,58,44,51
cell348,61,54,47,34,50
cell349,48,46,57,53,56
cell350,48,45,42,45,48
cell351,45,63,42,54,46
cell352,52,64,63,45,48
cell353,47,54,51,49,49
cell354,60,53,37,44,53
cell355,52,47,50,46,38
cell356,40,69,49,55,65
cell357,51,44,43,48,59
cell358,59,41,54,42,46
cell359,61,46,49,65,52
cell360,53,52,46,50,58
cell361,52,50,56,63,45
cell362,44,37,52,61,50
cell363,56,50,44,35,55
cell364,63,44,44,49,44
cell365,62,63,41,45,45
cell366,53,54,60,46,56
cell367,53,46,55,47,43
cell368,62,49,48,42,48
cell369,51,60,45,59,44
cell370,42,54,61,44,53
cell371,49,37,47,54,43
cell372,41,42,64,37,52
cell373,53,57,52,56,49
cell374,59,53,54,46,49
cell375,52,56,47,44,38
cell376,51,54,62,49,52
cell377,40,61,47,63,47
cell378,52,46,39,46,63
cell379,47,55,49,49,48
cell380,45,56,58,42,49
cell381,47,47,50,50,53
cell382,55,51,40,47,32
cell383,44,58,41,59,48
cell384,52,54,51,37,49
cell385,53,40,53,53,57
cell386,54,53,59,46,48
cell387,61,44,44,52,49
cell388,53,53,61,39,52
cell389,54,30,63,51,42
cell390,46,44,54,53,46
cell391,54,52,58,46,47
cell392,48,47,39,52,36
cell393,47,47,51,67,46
cell394,45,44,61,44,51
cell395,45,59,66,64,47
cell396,45,53,61,42,43
cell397,56,56,49,49,53
cell398,53,46,53,44,42
cell399,63,51,48,52,48
cell400,52,53,44,57,66
cell401,42,58,51,34,67
cell402,55,51,53,67,49
cell403,67,55,57,49,45
cell404,43,50,50,63,60
cell405,39,58,44,40,51
cell406,53,47,46,60,42
cell407,51,59,47,44,43
cell408,44,33,45,50,36
cell409,59,52,54,39,48
cell410,64,40,46,37,58
cell411,55,45,47,45,50
cell412,43,67,51,51,55
cell413,54,43,46,45,46
cell414,50,45,45,49,59
cell415,55,48,41,46,48
cell416,55,62,52,51,56
cell417,41,45,46,57,57
cell418,46,54,51,42,56
cell419,53,43,60,44,49
cell420,49,46,53,47,44
cell421,50,46,45,70,64
cell422,45,56,58,63,40
cell423,54,49,36,65,50
cell424,50,36,50,48,34
cell425,55,56,43,46,51
cell426,49,41,47,65,48
cell427,43,54,49,54,40
cell428,48,58,55,58,55
cell429,61,42,52,49,53
cell430,44,53,46,50,69
cell431,37,56,58,66,67
cell432,49,46,44,63,54
cell433,45,55,47,44,40
cell434,54,37,55,58,58
cell435,44,45,53,52,55
cell436,50,56,56,40,43
cell437,41,72,58,58,59
cell438,58,55,45,49,56
cell439,52,53,49,49,54
cell440,44,39,39,60,45
cell441,58,55,48,46,52
cell442,44,38,46,47,65
cell443,63,77,50,47,60
cell444,59,49,43,54,56
cell445,43,41,59,65,62
cell446,52,43,54,59,45
cell447,54,46,48,52,43
cell448,60,47,44,59,46
cell449,38,49,57,64,67
cell450,54,53,57,58,42
cell451,47,52,48,44,58
cell452,51,41,50,53,47
cell453,42,49,47,25,56
cell454,55,57,57,43,57
cell455,41,56,44,53,50
cell456,56,55,47,46,53
cell457,58,47,39,48,42
cell458,51,47,55,51,62
cell459,57,39,45,29,44
cell460,50,45,58,46,59
cell461,38,53,56,40,52
cell462,46,54,49,38,56
cell463,48,51,42,53,45
cell464,36,50,38,42,47
cell465,41,49,39,63,50
cell466,51,55,49,58,49
cell467,60,39,45,50,50
cell468,43,49,49,42,46
cell469,49,68,41,39,44
cell470,50,60,57,55,58
cell471,57,45,49,47,57
cell472,57,47,56,57,42
cell473,44,44,55,54,47
cell474,43,45,53,46,60
cell475,52,56,53,62,50
cell476,47,48,40,55,47
cell477,50,47,46,42,66
cell478,56,48,45,55,50
cell479,48,53,53,58,58
cell480,42,45,54,48,68
cell481,52,55,51,47,31
cell482,41,59,52,53,55
cell483,53,64,52,46,52
cell484,42,48,62,42,58
cell485,52,60,46,64,57
cell486,54,46,45,58,45
cell487,53,64,58,43,47
cell488,50,59,52,44,53
cell489,50,46,46,69,43
cell490,38,46,49,57,46
cell491,62,44,35,45,36
cell492,51,65,63,38,43
cell493,48,64,49,56,46
cell494,49,46,46,55,54
cell495,41,59,48,50,56
cell496,61,47,47,44,47
cell497,57,42,47,47,45
cell498,46,49,44,54,61
cell499,48,48,54,60,46
cell500,50,53,44,51,53
