	mut5	mut5	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4
cell127	0	48	56	0	40	0	55	0	51	0
cell128	0	60	11	33	37	0	49	1	17	32
cell129	0	60	11	28	61	0	44	1	24	16
cell130	0	64	27	9	44	1	34	10	38	0
cell131	0	56	6	28	41	8	40	0	50	0
cell132	0	48	19	35	46	2	43	0	55	0
cell133	1	49	38	0	51	0	48	2	53	0
cell134	0	54	37	11	50	2	43	0	49	0
cell135	0	52	48	2	62	0	41	0	42	0
cell136	0	59	34	18	51	1	40	0	53	0
cell137	0	48	23	39	51	1	41	1	44	0
cell138	0	53	16	31	47	0	51	0	51	0
cell139	0	51	35	14	37	13	59	0	53	0
cell140	1	46	45	1	57	0	45	0	50	0
cell141	0	43	10	45	49	0	38	0	26	17
cell142	1	56	53	1	34	0	54	0	62	0
cell143	0	43	39	10	40	0	71	0	58	0
cell144	0	46	18	28	32	2	40	2	36	0
cell145	0	45	11	38	53	1	18	28	51	0
cell146	0	48	3	36	61	0	48	0	34	0
cell147	0	48	5	37	40	7	51	2	42	0
cell148	0	47	7	46	50	0	45	0	21	25
cell149	0	59	35	0	57	1	47	0	51	0
cell150	0	49	14	27	52	0	32	21	46	0
cell151	0	64	1	52	46	0	13	33	48	0
cell152	0	53	41	17	51	0	55	0	58	0
cell153	0	52	4	43	51	0	60	0	42	4
cell154	0	56	17	28	28	22	52	1	43	0
cell155	0	42	28	21	48	0	43	3	57	0
cell156	0	35	36	11	41	0	46	0	46	2
cell157	2	54	29	12	52	0	54	0	61	0
cell158	0	38	2	47	48	5	42	5	32	1
cell159	0	31	45	2	65	0	50	0	43	0
cell160	0	66	44	3	49	0	39	0	41	0
cell161	2	50	31	3	58	2	45	0	56	5
cell162	0	51	9	41	51	0	22	19	46	0
cell163	0	52	7	54	33	8	65	0	52	0
cell164	0	63	15	31	46	0	58	1	27	23
cell165	0	49	10	39	45	5	64	0	46	0
cell166	2	47	15	40	52	0	64	1	42	0
cell167	0	53	50	0	30	2	50	0	51	0
cell168	0	52	24	28	22	22	54	0	64	0
cell169	0	60	9	38	50	0	49	2	45	0
cell170	1	47	50	0	49	0	45	1	42	0
cell171	1	62	19	40	51	0	45	0	48	0
cell172	0	53	1	65	40	6	54	0	46	0
cell173	0	36	34	12	50	1	15	32	55	0
cell174	0	50	4	43	42	0	30	18	59	0
cell175	1	51	45	0	54	0	53	0	49	0
cell176	0	48	23	18	14	24	51	0	36	1
cell177	5	43	38	19	40	0	52	4	51	0
cell178	1	49	1	48	61	0	18	25	43	0
cell179	0	53	61	1	42	0	59	0	58	0
cell180	0	58	7	45	64	0	41	0	44	1
cell181	0	54	48	0	57	1	53	2	52	0
cell182	1	52	22	38	19	25	61	1	57	0
cell183	0	52	11	42	48	0	51	0	23	32
cell184	0	46	19	19	45	4	52	0	38	1
cell185	0	52	13	40	62	0	49	0	34	6
cell186	0	62	49	1	49	0	58	2	44	0
cell187	0	53	32	24	60	0	31	16	52	0
cell188	0	47	40	5	41	17	47	0	51	0
cell189	1	45	13	37	57	0	39	8	57	0
cell190	5	43	52	0	44	5	41	0	44	0
cell191	0	40	11	28	52	0	57	0	24	27
cell192	3	51	16	33	44	4	41	0	55	0
cell193	0	62	5	47	41	3	24	22	40	0
cell194	0	41	10	31	33	12	47	4	50	0
cell195	0	57	1	51	40	0	42	0	39	8
cell196	0	49	59	0	53	0	49	0	46	0
cell197	0	40	50	0	46	0	41	7	52	0
cell198	0	51	0	55	49	9	57	0	65	0
cell199	0	42	46	0	43	1	48	2	48	0
cell200	0	39	13	33	51	3	48	0	25	38
cell201	0	59	36	14	51	0	42	4	42	0
cell202	0	51	4	44	18	25	38	0	56	0
cell203	0	53	21	28	34	19	46	4	43	7
cell204	0	46	44	9	49	18	52	2	54	0
cell205	0	44	9	38	53	0	53	2	46	2
cell206	0	49	2	44	58	4	51	0	23	31
cell207	0	57	27	16	53	0	53	2	50	0
cell208	0	66	29	22	51	0	43	0	57	0
cell209	2	56	21	33	45	0	43	0	8	50
cell210	0	58	10	42	63	0	50	4	74	0
cell211	0	49	45	0	52	0	51	0	61	0
cell212	0	62	46	5	39	0	53	0	59	1
cell213	0	64	45	1	47	0	51	0	59	2
cell214	0	50	13	33	53	1	59	0	37	16
cell215	0	47	4	42	60	0	46	0	49	10
cell216	0	53	11	39	45	0	53	0	66	0
cell217	0	49	13	45	50	0	39	6	30	11
cell218	0	62	6	46	48	0	19	32	61	2
cell219	0	49	16	38	24	25	44	3	52	0
cell220	0	43	20	30	50	0	44	18	45	1
cell221	1	46	43	6	61	0	50	0	55	4
cell222	0	47	4	35	52	0	44	1	47	0
cell223	0	57	13	29	53	0	43	0	31	20
cell224	0	57	27	14	45	0	54	0	57	0
cell225	0	46	5	31	47	0	31	16	37	0
cell226	0	56	45	0	43	0	37	0	45	0
cell227	0	46	26	21	46	0	54	0	44	0
cell228	2	50	43	0	52	0	58	0	42	1
cell229	1	55	19	30	60	1	56	0	31	13
cell230	0	58	25	18	47	0	64	0	42	0
cell231	0	52	26	23	55	0	60	0	43	0
cell232	0	54	2	35	41	0	45	0	29	27
cell233	0	54	14	30	47	0	55	0	21	30
cell234	0	44	37	21	53	0	42	5	62	1
cell235	0	44	17	32	57	4	18	17	53	1
cell236	0	44	14	37	41	17	46	0	56	0
cell237	0	53	8	47	22	17	52	0	47	0
cell238	0	41	31	21	64	0	65	1	38	12
cell239	7	47	14	26	38	0	18	20	40	2
cell240	0	54	18	36	56	2	24	14	37	0
cell241	0	49	26	19	56	0	52	4	46	0
cell242	1	43	8	36	34	27	52	2	60	0
cell243	0	47	26	31	51	0	52	0	55	0
cell244	2	37	45	1	41	0	44	5	47	0
cell245	0	35	43	12	41	0	53	2	55	0
cell246	0	48	6	46	51	0	13	32	48	0
cell247	0	48	22	24	48	0	58	0	43	0
cell248	0	51	48	5	43	0	64	0	58	2
cell249	0	46	40	21	36	19	43	2	55	1
cell250	2	48	14	31	41	9	49	0	47	2
cell251	0	47	5	44	50	0	25	24	44	0
cell252	0	37	57	0	43	0	47	0	42	0
cell253	0	44	19	39	56	0	44	0	36	20
cell254	0	56	51	0	43	0	47	0	57	0
cell255	3	52	4	47	37	12	47	1	52	0
cell256	0	62	38	12	46	0	44	0	39	7
cell257	0	49	12	33	32	16	65	1	40	0
cell258	0	51	3	44	46	0	56	0	71	0
cell259	0	55	45	0	47	0	65	0	47	0
cell260	0	58	21	25	42	7	56	0	34	3
cell261	2	50	40	18	53	3	52	0	49	0
cell262	0	57	1	55	67	0	22	21	47	0
cell263	0	52	5	31	64	0	59	0	43	0
cell264	6	50	37	2	59	0	42	0	47	0
cell265	0	52	7	44	27	26	40	0	42	1
cell266	0	43	35	19	34	14	54	0	50	1
cell267	1	55	27	29	49	0	58	0	18	15
cell268	0	45	3	45	28	17	50	0	44	0
cell269	0	53	18	31	54	0	50	2	13	45
cell270	0	35	50	0	45	1	56	0	54	0
cell271	0	59	6	49	49	2	51	0	43	6
cell272	0	42	21	33	54	2	63	3	50	5
cell273	0	50	51	0	52	2	47	0	47	0
cell274	1	44	59	2	48	1	56	0	44	0
cell275	0	45	15	36	57	0	46	0	32	10
cell276	0	47	60	0	52	0	48	0	52	0
cell277	0	52	34	0	47	0	53	0	44	0
cell278	0	53	40	0	36	0	61	0	57	2
cell279	0	57	31	24	51	0	62	2	56	0
cell280	0	48	20	12	43	0	40	0	28	0
cell281	0	44	28	16	41	11	43	0	56	0
cell282	1	38	14	45	41	0	16	39	44	0
cell283	0	49	8	45	53	3	65	0	63	0
cell284	0	65	4	33	18	30	39	0	55	2
cell285	0	59	3	57	55	0	39	4	51	0
cell286	0	48	25	26	45	0	49	0	45	13
cell287	0	44	53	0	47	0	54	0	39	0
cell288	3	49	11	37	45	1	56	1	19	24
cell289	0	54	27	14	46	0	61	2	24	23
cell290	0	56	6	55	40	0	46	1	54	0
cell291	1	45	28	28	54	1	23	38	49	0
cell292	0	47	58	1	52	0	48	0	41	0
cell293	0	41	12	47	51	1	43	8	41	0
cell294	0	60	13	39	51	0	57	0	14	38
cell295	0	45	20	34	42	2	51	0	57	0
cell296	0	50	42	0	49	0	61	0	52	1
cell297	0	42	56	0	48	3	36	0	39	0
cell298	0	50	50	2	66	0	56	0	37	0
cell299	2	51	36	23	19	19	41	0	46	0
cell300	0	62	25	18	40	6	49	0	66	0
cell301	0	63	42	15	37	14	60	0	47	0
cell302	0	46	47	6	35	7	54	0	58	0
cell303	1	51	41	12	43	4	48	0	59	1
cell304	7	42	29	17	37	29	49	0	46	0
cell305	0	44	4	45	45	0	14	43	53	0
cell306	0	60	4	38	25	5	59	1	48	0
cell307	0	56	41	16	40	11	45	3	44	0
cell308	0	51	31	20	45	0	54	3	45	0
cell309	0	46	74	0	50	0	50	0	52	0
cell310	0	38	59	2	44	0	46	2	52	0
cell311	0	58	3	45	28	7	42	0	60	0
cell312	0	56	10	51	53	0	51	0	53	1
cell313	0	46	51	0	53	0	54	0	59	0
cell314	0	42	43	0	48	0	36	0	58	0
cell315	5	45	8	40	48	0	30	13	37	0
cell316	0	57	36	6	39	0	49	0	54	9
cell317	0	57	48	5	52	0	48	4	48	2
cell318	0	53	47	1	45	1	55	0	52	0
cell319	0	63	33	18	37	5	46	4	46	0
cell320	0	53	26	30	54	0	44	0	48	0
cell321	0	43	53	0	46	0	52	0	39	0
cell322	0	56	5	35	47	9	24	30	63	0
cell323	0	34	29	29	44	10	50	0	63	0
cell324	0	53	35	0	65	0	48	0	60	0
cell325	0	47	1	51	13	42	55	1	55	0
cell326	0	61	17	21	53	0	56	0	28	13
cell327	0	52	16	47	23	25	52	0	47	0
cell328	1	60	6	40	48	0	30	25	48	0
cell329	0	59	20	27	44	2	53	4	58	0
cell330	0	37	0	53	18	35	44	0	34	3
cell331	0	64	8	48	55	2	53	0	32	1
cell332	0	56	41	12	33	8	46	0	55	0
cell333	0	61	15	32	43	0	51	1	61	0
cell334	0	39	38	0	69	0	49	0	50	0
cell335	0	50	1	41	46	0	46	0	13	35
cell336	0	52	49	0	42	0	44	0	41	4
cell337	0	50	70	0	50	0	55	0	59	0
cell338	0	53	7	39	46	0	54	1	31	24
cell339	0	52	17	33	42	0	39	26	41	0
cell340	2	55	56	0	47	0	42	0	56	0
cell341	0	61	26	33	51	0	56	0	38	25
cell342	0	47	4	39	58	0	32	1	54	4
cell343	0	47	31	15	31	18	43	0	49	0
cell344	1	49	28	31	41	0	47	0	45	0
cell345	0	41	1	55	54	0	50	0	27	16
cell346	0	44	15	31	62	0	50	3	19	23
cell347	0	36	5	39	37	21	36	8	51	0
cell348	0	61	48	6	47	0	34	0	50	0
cell349	0	48	4	42	57	0	53	0	53	3
cell350	0	48	45	0	42	0	45	0	45	3
cell351	0	45	27	36	42	0	54	0	46	0
cell352	0	52	33	31	63	0	43	2	48	0
cell353	0	47	53	1	51	0	49	0	49	0
cell354	0	60	29	24	27	10	44	0	53	0
cell355	2	50	25	22	49	1	46	0	37	1
cell356	4	36	69	0	49	0	55	0	65	0
cell357	0	51	30	14	41	2	48	0	57	2
cell358	0	59	38	3	46	8	42	0	46	0
cell359	0	61	46	0	49	0	65	0	52	0
cell360	2	51	16	36	45	1	50	0	54	4
cell361	0	52	12	38	56	0	62	1	45	0
cell362	0	44	2	35	48	4	61	0	50	0
cell363	0	56	50	0	44	0	34	1	55	0
cell364	0	63	8	36	44	0	49	0	35	9
cell365	0	62	9	54	41	0	45	0	30	15
cell366	0	53	54	0	60	0	46	0	56	0
cell367	1	52	40	6	53	2	47	0	43	0
cell368	0	62	49	0	48	0	42	0	48	0
cell369	0	51	19	41	45	0	55	4	44	0
cell370	0	42	8	46	16	45	41	3	53	0
cell371	0	49	25	12	47	0	54	0	17	26
cell372	0	41	12	30	63	1	37	0	6	46
cell373	0	53	4	53	52	0	56	0	36	13
cell374	0	59	21	32	54	0	43	3	47	2
cell375	0	52	20	36	47	0	29	15	38	0
cell376	0	51	8	46	62	0	15	34	52	0
cell377	0	40	48	13	47	0	50	13	47	0
cell378	0	52	46	0	39	0	46	0	63	0
cell379	0	47	35	20	48	1	49	0	48	0
cell380	0	45	21	35	58	0	42	0	49	0
cell381	0	47	2	45	50	0	50	0	53	0
cell382	0	55	22	29	39	1	47	0	32	0
cell383	3	41	58	0	41	0	57	2	48	0
cell384	0	52	17	37	51	0	27	10	46	3
cell385	0	53	40	0	53	0	53	0	57	0
cell386	0	54	5	48	22	37	46	0	48	0
cell387	1	60	21	23	44	0	52	0	34	15
cell388	0	53	17	36	61	0	38	1	52	0
cell389	0	54	0	30	63	0	51	0	21	21
cell390	0	46	44	0	53	1	50	3	46	0
cell391	0	54	23	29	57	1	46	0	47	0
cell392	0	48	9	38	39	0	23	29	34	2
cell393	1	46	39	8	49	2	60	7	46	0
cell394	0	45	23	21	61	0	44	0	51	0
cell395	0	45	9	50	66	0	36	28	46	1
cell396	0	45	29	24	61	0	42	0	34	9
cell397	6	50	42	14	48	1	49	0	40	13
cell398	0	53	46	0	53	0	44	0	42	0
cell399	0	63	51	0	48	0	46	6	48	0
cell400	7	45	38	15	44	0	55	2	66	0
cell401	0	42	3	55	30	21	34	0	67	0
cell402	0	55	51	0	53	0	67	0	49	0
cell403	0	67	55	0	55	2	44	5	45	0
cell404	0	43	10	40	50	0	63	0	60	0
cell405	0	39	24	34	43	1	15	25	51	0
cell406	0	53	20	27	46	0	60	0	29	13
cell407	0	51	17	42	47	0	43	1	20	23
cell408	0	44	21	12	45	0	50	0	36	0
cell409	0	59	45	7	38	16	39	0	48	0
cell410	0	64	40	0	46	0	37	0	58	0
cell411	0	55	34	11	47	0	45	0	50	0
cell412	0	43	67	0	51	0	50	1	55	0
cell413	0	54	43	0	46	0	45	0	46	0
cell414	0	50	21	24	42	3	49	0	58	1
cell415	0	55	29	19	41	0	46	0	42	6
cell416	0	55	7	55	52	0	13	38	56	0
cell417	1	40	24	21	36	10	57	0	55	2
cell418	0	46	0	54	51	0	40	2	12	44
cell419	0	53	41	2	60	0	43	1	49	0
cell420	0	49	16	30	53	0	47	0	44	0
cell421	0	50	9	37	45	0	70	0	48	16
cell422	1	44	56	0	58	0	62	1	36	4
cell423	0	54	49	0	36	0	65	0	50	0
cell424	0	50	0	36	34	16	48	0	34	0
cell425	0	55	26	30	41	2	37	9	51	0
cell426	2	47	25	16	42	5	65	0	48	0
cell427	0	43	11	43	49	0	54	0	40	0
cell428	0	48	20	38	55	0	58	0	55	0
cell429	0	61	8	34	46	6	47	2	53	0
cell430	0	44	52	1	46	0	50	0	69	0
cell431	0	37	42	14	52	6	65	1	67	0
cell432	1	48	43	3	44	0	57	6	54	0
cell433	1	44	19	36	47	0	44	0	40	0
cell434	0	54	37	0	55	0	58	0	58	0
cell435	0	44	21	24	49	4	52	0	55	0
cell436	0	50	56	0	56	0	40	0	42	1
cell437	0	41	9	63	58	0	49	9	58	1
cell438	0	58	13	42	45	0	33	16	56	0
cell439	1	51	53	0	49	0	49	0	53	1
cell440	0	44	12	27	39	0	60	0	45	0
cell441	0	58	5	50	44	4	46	0	52	0
cell442	0	44	23	15	46	0	28	19	65	0
cell443	0	63	65	12	50	0	45	2	60	0
cell444	0	59	49	0	43	0	54	0	56	0
cell445	0	43	1	40	59	0	65	0	62	0
cell446	0	52	22	21	54	0	35	24	45	0
cell447	0	54	44	2	48	0	52	0	43	0
cell448	13	47	47	0	44	0	59	0	46	0
cell449	0	38	25	24	45	12	64	0	67	0
cell450	0	54	23	30	57	0	55	3	29	13
cell451	0	47	21	31	47	1	44	0	55	3
cell452	0	51	30	11	50	0	53	0	46	1
cell453	0	42	14	35	47	0	20	5	56	0
cell454	0	55	8	49	24	33	43	0	57	0
cell455	0	41	17	39	44	0	53	0	50	0
cell456	0	56	55	0	47	0	45	1	53	0
cell457	4	54	47	0	39	0	48	0	40	2
cell458	1	50	4	43	55	0	51	0	20	42
cell459	0	57	25	14	45	0	29	0	42	2
cell460	8	42	6	39	58	0	46	0	55	4
cell461	0	38	0	53	21	35	40	0	52	0
cell462	0	46	20	34	49	0	38	0	44	12
cell463	0	48	50	1	42	0	53	0	45	0
cell464	0	36	19	31	35	3	42	0	47	0
cell465	0	41	45	4	39	0	63	0	50	0
cell466	0	51	24	31	48	1	58	0	49	0
cell467	0	60	10	29	45	0	49	1	50	0
cell468	0	43	34	15	49	0	42	0	46	0
cell469	1	48	27	41	33	8	39	0	44	0
cell470	0	50	60	0	57	0	49	6	58	0
cell471	0	57	0	45	33	16	47	0	57	0
cell472	0	57	31	16	53	3	56	1	40	2
cell473	0	44	44	0	55	0	54	0	47	0
cell474	0	43	11	34	39	14	45	1	60	0
cell475	0	52	6	50	53	0	62	0	26	24
cell476	1	46	48	0	40	0	54	1	46	1
cell477	0	50	38	9	39	7	42	0	66	0
cell478	1	55	48	0	45	0	55	0	50	0
cell479	2	46	51	2	52	1	57	1	58	0
cell480	0	42	45	0	54	0	48	0	66	2
cell481	0	52	45	10	51	0	46	1	31	0
cell482	1	40	13	46	52	0	50	3	34	21
cell483	0	53	40	24	46	6	45	1	52	0
cell484	4	38	9	39	62	0	42	0	58	0
cell485	18	34	52	8	46	0	64	0	52	5
cell486	0	54	0	46	45	0	31	27	45	0
cell487	0	53	58	6	58	0	43	0	44	3
cell488	0	50	20	39	52	0	44	0	52	1
cell489	3	47	14	32	46	0	69	0	43	0
cell490	1	37	14	32	49	0	56	1	42	4
cell491	1	61	7	37	35	0	45	0	36	0
cell492	0	51	59	6	63	0	38	0	43	0
cell493	0	48	26	38	49	0	44	12	46	0
cell494	7	42	41	5	46	0	55	0	54	0
cell495	0	41	38	21	48	0	50	0	56	0
cell496	0	61	17	30	47	0	44	0	43	4
cell497	0	57	41	1	47	0	46	1	45	0
cell498	0	46	49	0	44	0	54	0	61	0
cell499	0	48	5	43	54	0	60	0	25	21
cell500	0	50	0	53	44	0	50	1	41	12
