,mut5,mut1,mut2,mut3,mut4
cell93,60,44,63,39,59
cell94,36,54,43,50,59
cell95,50,44,51,55,49
cell96,49,44,54,55,39
cell97,56,43,68,48,50
cell98,65,55,46,59,52
cell99,47,44,47,51,61
cell100,60,46,62,43,45
cell101,54,55,44,45,54
cell102,54,45,34,44,60
cell103,45,50,41,58,56
cell104,45,50,59,58,50
cell105,48,43,53,38,54
cell106,47,56,49,46,57
cell107,50,47,48,55,47
cell108,59,49,59,43,59
cell109,47,46,63,45,56
cell110,49,46,63,56,44
cell111,41,48,36,60,52
cell112,55,55,48,47,45
cell113,39,53,50,57,47
cell114,54,49,54,46,47
cell115,53,59,50,38,44
cell116,45,63,48,54,41
cell117,65,50,54,58,45
cell118,50,66,51,45,53
cell119,44,58,53,53,44
cell120,43,50,53,39,52
cell121,59,43,44,57,43
cell122,31,56,55,45,47
cell123,43,43,45,47,53
cell124,49,54,51,60,45
cell125,49,44,45,50,58
cell126,48,47,51,47,39
cell127,47,51,56,46,48
cell128,43,52,41,47,51
cell129,54,42,47,61,54
cell130,54,39,45,43,54
cell131,66,58,41,41,42
cell132,48,51,63,55,58
cell133,52,42,40,56,31
cell134,67,46,55,52,52
cell135,49,52,54,56,49
cell136,45,53,35,54,49
cell137,51,49,58,41,47
cell138,48,63,35,50,45
cell139,49,52,44,46,61
cell140,58,45,31,42,38
cell141,47,49,50,51,51
cell142,47,52,47,44,55
cell143,61,53,45,46,51
cell144,51,64,51,56,53
cell145,44,44,55,39,47
cell146,39,54,54,61,47
cell147,57,37,56,36,44
cell148,45,47,48,50,49
cell149,58,54,51,44,43
cell150,49,35,41,45,55
cell151,49,54,43,40,62
cell152,51,46,46,51,41
cell153,52,45,58,63,57
cell154,47,52,52,51,47
cell155,43,51,53,47,46
cell156,41,41,58,60,41
cell157,48,65,54,42,57
cell158,52,45,45,47,62
cell159,63,52,50,48,52
cell160,50,48,47,60,50
cell161,54,48,52,45,42
cell162,69,50,48,52,49
cell163,46,51,62,56,39
cell164,50,45,58,57,55
cell165,30,42,50,40,46
cell166,54,52,48,60,45
cell167,73,35,50,63,49
cell168,43,53,50,54,52
cell169,67,63,44,62,49
cell170,46,45,51,46,58
cell171,48,46,55,43,54
cell172,53,60,45,45,56
cell173,39,46,48,42,52
cell174,63,47,40,52,45
cell175,41,49,55,52,63
cell176,51,55,49,62,65
cell177,73,57,58,44,46
cell178,41,49,57,42,56
cell179,46,48,48,50,58
cell180,45,42,44,62,46
cell181,49,60,54,54,58
cell182,63,52,50,57,62
cell183,39,60,72,56,60
cell184,49,47,54,50,40
cell185,32,55,62,52,45
cell186,49,45,53,43,53
cell187,63,57,54,43,48
cell188,57,47,48,41,51
cell189,43,36,62,43,56
cell190,65,36,41,60,45
cell191,62,43,53,52,50
cell192,56,46,49,50,63
cell193,57,49,57,52,46
cell194,37,51,58,43,44
cell195,45,51,52,53,55
cell196,44,43,42,45,52
cell197,51,42,39,55,53
cell198,59,47,50,38,46
cell199,49,49,59,49,46
cell200,50,52,49,52,46
cell201,54,44,49,52,47
cell202,42,47,68,34,45
cell203,46,55,64,48,40
cell204,58,62,69,63,51
cell205,47,55,45,45,37
cell206,34,42,57,56,46
cell207,53,47,51,39,60
cell208,56,50,38,48,59
cell209,47,48,50,46,36
cell210,39,45,53,52,50
cell211,61,55,42,40,67
cell212,46,44,59,48,62
cell213,47,41,47,42,59
cell214,58,54,61,45,53
cell215,45,38,47,51,45
cell216,47,46,43,48,47
cell217,60,54,42,46,39
cell218,48,56,45,59,51
cell219,42,60,44,41,60
cell220,60,50,38,53,46
cell221,57,54,36,42,66
cell222,55,47,53,55,42
cell223,47,56,40,55,56
cell224,45,52,47,36,56
cell225,53,53,57,43,53
cell226,47,47,49,53,37
cell227,34,50,50,46,53
cell228,51,45,55,37,47
cell229,50,55,45,52,58
cell230,62,50,48,37,53
cell231,50,44,55,37,48
cell232,44,61,55,60,49
cell233,43,55,62,48,41
cell234,54,59,50,53,51
cell235,40,51,52,53,47
cell236,63,54,48,55,49
cell237,66,44,43,55,50
cell238,57,41,51,49,50
cell239,42,62,57,51,50
cell240,44,68,63,46,57
cell241,55,60,44,51,41
cell242,60,58,61,57,53
cell243,43,54,39,54,58
cell244,53,42,51,46,46
cell245,67,53,54,50,56
cell246,55,58,56,59,54
cell247,48,40,60,45,50
cell248,45,45,47,60,57
cell249,49,46,48,40,44
cell250,47,46,51,37,42
cell251,49,53,52,60,49
cell252,53,55,55,59,48
cell253,53,41,55,41,45
cell254,44,55,53,56,48
cell255,44,47,60,54,55
cell256,42,50,43,51,59
cell257,40,44,45,44,52
cell258,44,47,42,47,53
cell259,62,52,43,46,61
cell260,44,60,58,54,47
cell261,45,50,55,32,57
cell262,60,41,50,49,46
cell263,50,50,55,50,42
cell264,55,33,47,43,47
cell265,52,47,53,55,62
cell266,61,37,51,56,40
cell267,49,60,58,48,56
cell268,62,54,47,57,60
cell269,61,37,46,51,49
cell270,47,41,41,48,47
cell271,47,60,50,52,39
cell272,55,48,44,52,57
cell273,47,50,43,44,50
cell274,56,58,57,52,57
cell275,46,51,41,48,56
cell276,51,50,45,46,68
cell277,56,41,47,57,44
cell278,50,37,53,56,43
cell279,41,51,42,72,48
cell280,68,51,45,51,49
cell281,54,59,49,42,48
cell282,62,49,48,33,59
cell283,51,66,59,35,48
cell284,60,52,50,44,54
cell285,62,52,68,55,62
cell286,44,53,55,39,38
cell287,45,57,54,43,46
cell288,51,49,41,50,63
cell289,49,41,58,49,41
cell290,47,55,47,43,54
cell291,43,61,56,48,51
cell292,45,60,51,49,50
cell293,56,46,47,52,41
cell294,46,56,52,55,52
cell295,37,59,55,48,46
cell296,55,54,43,58,56
cell297,53,39,52,36,45
cell298,49,53,57,45,50
cell299,50,49,55,63,44
cell300,42,44,53,54,46
cell301,47,49,53,59,67
cell302,53,46,51,42,51
cell303,48,52,56,43,57
cell304,47,57,50,45,40
cell305,39,41,49,53,57
cell306,48,42,53,61,54
cell307,62,48,49,51,55
cell308,45,56,52,63,46
cell309,49,53,50,49,40
cell310,42,65,43,55,52
cell311,32,55,58,40,54
cell312,52,60,65,61,38
cell313,52,42,60,64,55
cell314,54,41,47,41,53
cell315,49,53,38,38,29
cell316,50,43,60,51,51
cell317,44,58,42,46,54
cell318,63,34,44,46,38
cell319,40,58,47,40,58
cell320,60,42,48,57,48
cell321,56,44,47,60,45
cell322,70,53,43,64,42
cell323,48,50,50,59,52
cell324,43,39,40,47,53
cell325,53,46,46,38,53
cell326,56,36,50,52,48
cell327,53,54,37,52,49
cell328,43,56,50,41,43
cell329,47,45,51,60,63
cell330,58,55,53,42,33
cell331,51,47,46,35,57
cell332,35,61,39,45,52
cell333,34,61,54,30,48
cell334,45,43,45,45,51
cell335,60,45,48,61,45
cell336,45,50,45,60,50
cell337,51,51,44,49,49
cell338,52,56,41,56,49
cell339,34,48,48,50,40
cell340,55,49,39,40,53
cell341,56,57,46,49,51
cell342,38,39,54,43,45
cell343,57,47,47,57,44
cell344,42,55,69,54,49
cell345,43,53,47,48,52
cell346,51,49,49,60,49
cell347,44,44,54,46,44
cell348,57,51,59,49,41
cell349,41,48,47,55,60
cell350,71,56,51,51,56
cell351,49,56,44,47,51
cell352,71,51,38,60,45
cell353,49,60,41,44,50
cell354,49,56,46,54,48
cell355,47,56,58,50,56
cell356,53,46,41,42,57
cell357,55,55,54,44,44
cell358,36,41,54,50,52
cell359,35,54,52,54,53
cell360,60,46,52,46,43
cell361,54,55,65,58,57
cell362,40,48,55,48,54
cell363,53,35,48,53,51
cell364,42,73,58,46,43
cell365,56,46,55,50,42
cell366,38,47,38,40,44
cell367,52,33,53,53,47
cell368,37,40,44,51,64
cell369,46,50,59,55,39
cell370,31,45,50,48,56
cell371,56,52,56,58,51
cell372,38,59,48,43,49
cell373,46,52,53,48,39
cell374,42,40,53,69,45
cell375,52,54,46,43,49
cell376,33,64,49,49,50
cell377,46,45,51,63,57
cell378,47,45,45,35,29
cell379,47,48,45,54,60
cell380,46,58,42,44,44
cell381,43,45,43,37,43
cell382,40,45,49,52,42
cell383,38,46,52,36,52
cell384,35,54,54,51,61
cell385,54,47,42,41,50
cell386,46,49,48,43,51
cell387,52,51,41,47,53
cell388,47,49,56,38,46
cell389,49,61,48,59,51
cell390,47,48,39,42,49
cell391,47,65,52,37,56
cell392,60,47,63,51,53
cell393,46,62,37,53,48
cell394,36,54,58,46,43
cell395,53,46,59,53,47
cell396,59,58,46,60,67
cell397,49,50,53,55,52
cell398,43,43,50,51,57
cell399,43,50,46,56,53
cell400,41,51,56,59,56
cell401,45,51,47,57,53
cell402,45,54,48,46,58
cell403,65,53,47,48,58
cell404,59,39,42,49,46
cell405,43,52,56,53,54
cell406,32,49,51,49,35
cell407,49,56,50,44,53
cell408,44,49,54,49,44
cell409,49,62,44,51,53
cell410,42,48,52,48,45
cell411,59,49,44,49,42
cell412,58,49,54,44,49
cell413,57,36,55,61,59
cell414,52,49,45,59,43
cell415,50,43,50,50,52
cell416,52,54,49,50,49
cell417,59,63,36,49,53
cell418,42,45,43,43,51
cell419,47,67,56,39,50
cell420,56,46,56,46,51
cell421,61,49,38,65,53
cell422,55,48,37,48,39
cell423,45,53,54,38,55
cell424,39,55,56,59,45
cell425,55,52,53,46,59
cell426,49,52,52,45,53
cell427,53,52,50,45,49
cell428,49,52,54,50,50
cell429,47,52,42,59,43
cell430,43,51,58,53,38
cell431,43,51,58,43,47
cell432,45,44,47,50,47
cell433,56,47,51,43,41
cell434,48,49,49,46,46
cell435,63,43,41,45,64
cell436,51,57,53,49,48
cell437,45,52,44,52,47
cell438,63,62,41,54,51
cell439,47,41,51,49,47
cell440,61,58,53,48,50
cell441,39,48,39,55,50
cell442,58,48,48,52,48
cell443,46,57,46,42,32
cell444,45,40,49,48,49
cell445,47,59,54,53,47
cell446,58,44,37,55,51
cell447,57,37,51,52,42
cell448,58,53,48,34,61
cell449,57,47,45,44,45
cell450,46,50,68,45,56
cell451,45,42,48,50,52
cell452,48,53,59,45,55
cell453,60,54,62,47,41
cell454,56,42,57,53,36
cell455,50,47,42,39,45
cell456,55,47,55,58,52
cell457,44,45,55,55,43
cell458,52,55,50,50,56
cell459,58,51,54,51,58
cell460,49,49,52,56,48
cell461,53,56,45,60,59
cell462,47,41,62,58,48
cell463,46,62,51,45,42
cell464,52,54,51,60,48
cell465,49,55,40,50,49
cell466,50,48,53,56,43
cell467,59,50,41,52,42
cell468,52,46,47,68,60
cell469,44,49,39,69,49
cell470,40,48,47,55,59
cell471,40,43,53,57,54
cell472,44,48,43,42,48
cell473,44,61,49,50,41
cell474,40,43,60,38,51
cell475,50,42,41,46,52
cell476,52,47,50,57,47
cell477,63,52,61,48,45
cell478,39,53,45,58,54
cell479,42,35,55,54,57
cell480,58,47,58,36,43
cell481,52,48,46,51,51
cell482,49,66,52,41,56
cell483,46,62,40,56,49
cell484,39,48,61,41,53
cell485,46,55,37,39,45
cell486,60,51,45,56,53
cell487,51,43,44,50,65
cell488,47,48,37,44,56
cell489,36,44,49,53,58
cell490,58,42,58,44,54
cell491,66,49,51,50,60
cell492,44,45,58,52,57
cell493,50,50,49,51,45
cell494,50,61,56,44,57
cell495,43,49,46,47,54
cell496,53,51,60,48,59
cell497,61,35,50,65,62
cell498,52,51,56,51,41
cell499,48,55,45,53,55
cell500,47,48,46,39,42
