,mut15,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14
cell32,47,54,41,55,53,47,46,48,57,53,53,52,55,54,53
cell33,56,52,50,49,48,55,54,49,57,55,56,45,52,41,53
cell34,47,53,43,51,51,40,49,42,56,54,44,42,44,54,38
cell35,59,35,59,68,62,45,46,56,54,52,53,60,45,48,51
cell36,48,55,58,53,54,48,54,48,42,47,55,48,54,46,62
cell37,53,49,53,47,53,50,57,54,39,56,45,47,48,33,57
cell38,53,41,53,40,54,45,52,41,50,56,43,43,51,51,67
cell39,57,44,52,50,55,51,46,60,59,52,51,50,55,52,50
cell40,58,45,63,45,53,48,48,53,50,51,66,58,29,40,46
cell41,63,57,42,48,61,58,63,48,63,45,55,46,48,55,69
cell42,49,44,48,55,51,41,54,39,37,51,40,59,46,50,53
cell43,55,52,47,61,49,47,48,49,38,55,60,47,55,44,44
cell44,47,62,48,58,57,44,43,46,38,51,40,54,63,56,52
cell45,53,61,68,72,55,69,42,49,54,58,58,52,46,46,45
cell46,52,44,43,54,47,38,53,64,56,56,46,48,65,57,51
cell47,56,44,50,46,49,32,44,54,59,55,56,53,43,55,38
cell48,43,65,46,48,43,65,66,55,40,49,52,61,47,52,51
cell49,45,57,50,60,53,41,56,60,50,36,38,55,51,63,54
cell50,50,57,56,58,44,46,51,50,51,48,38,51,46,49,49
cell51,49,65,56,56,54,55,57,42,54,49,53,58,51,51,50
cell52,45,42,43,58,52,61,51,56,49,60,42,58,54,50,47
cell53,54,66,48,60,57,55,45,45,54,57,48,40,53,41,45
cell54,58,50,54,54,51,52,44,49,48,51,36,57,65,53,51
cell55,57,47,47,50,60,38,47,49,44,42,46,49,54,62,50
cell56,62,34,43,37,45,41,60,49,61,51,47,35,46,51,29
cell57,67,49,49,53,56,49,52,57,59,42,41,45,43,41,69
cell58,57,45,61,47,54,50,54,57,46,58,45,42,50,48,56
cell59,42,53,61,47,49,54,53,55,54,49,46,53,54,62,44
cell60,38,41,42,52,43,54,43,54,33,50,57,40,46,47,62
cell61,47,52,45,47,45,51,44,56,59,63,43,42,38,59,52
cell62,49,40,44,55,45,55,53,44,58,56,41,64,57,46,50
cell63,63,34,47,51,50,55,59,59,49,52,62,57,31,56,45
cell64,46,54,47,51,44,45,46,41,44,48,47,51,40,50,62
cell65,39,48,52,53,46,54,48,46,46,48,63,72,61,44,49
cell66,49,41,47,43,45,56,50,68,47,50,38,47,51,47,45
cell67,47,68,46,55,41,58,49,42,43,54,36,56,43,37,54
cell68,42,52,59,50,45,47,58,46,52,44,45,39,46,45,52
cell69,47,50,57,55,48,50,48,55,48,45,47,56,55,52,54
cell70,40,56,48,46,47,57,40,57,52,50,55,56,54,57,44
cell71,54,52,43,41,56,35,54,51,40,43,41,56,42,39,47
cell72,45,42,56,39,53,44,57,45,48,50,48,38,47,52,51
cell73,52,46,46,61,43,47,57,67,42,44,39,46,56,49,49
cell74,59,38,56,52,46,49,51,60,59,55,62,46,62,38,52
cell75,44,44,52,51,53,58,49,52,50,51,46,42,61,46,42
cell76,54,52,49,50,42,53,56,62,49,58,49,48,44,63,47
cell77,39,58,44,57,57,39,47,44,42,53,44,54,63,56,40
cell78,37,54,75,53,53,61,52,42,45,44,54,50,42,59,62
cell79,52,40,46,62,54,54,46,48,49,44,44,49,46,55,53
cell80,56,49,51,51,67,64,45,47,57,57,53,47,47,54,46
cell81,44,42,46,66,55,51,58,54,46,50,41,57,41,51,44
cell82,43,49,43,51,46,49,47,40,50,52,56,62,49,56,38
cell83,45,48,49,58,59,51,59,34,51,44,49,54,43,48,53
cell84,58,46,54,39,59,51,42,57,43,53,67,70,40,35,51
cell85,48,47,51,57,49,60,48,41,37,42,47,64,63,42,43
cell86,55,50,46,35,53,57,63,45,54,46,59,44,51,49,54
cell87,46,43,47,56,60,51,37,51,52,46,54,48,56,52,65
cell88,52,42,63,55,53,41,37,54,44,45,49,58,43,51,58
cell89,59,40,60,54,47,55,53,57,57,67,40,44,42,57,50
cell90,49,59,43,61,55,44,50,40,45,53,54,39,44,45,60
cell91,50,54,58,62,49,39,52,47,55,59,53,47,45,48,40
cell92,45,44,45,49,63,51,52,44,40,44,51,46,49,58,50
cell93,63,53,38,37,53,51,48,46,48,37,49,52,45,58,62
cell94,60,46,42,42,44,60,49,48,37,56,54,50,52,53,53
cell95,53,58,49,42,53,49,41,55,63,60,47,59,49,68,64
cell96,50,53,58,41,59,54,60,43,46,50,31,62,43,47,55
cell97,48,41,55,56,55,48,69,53,49,53,41,52,51,43,48
cell98,53,45,57,54,49,42,53,38,50,57,47,50,41,65,49
cell99,47,44,43,51,47,41,37,50,55,52,46,47,45,51,47
cell100,51,43,45,52,45,47,57,61,47,62,48,54,54,58,44
cell101,52,42,47,55,55,48,38,43,49,42,41,58,53,44,62
cell102,42,59,50,51,53,50,40,47,60,48,53,50,56,45,49
cell103,64,53,52,52,51,57,45,53,50,46,53,42,56,46,59
cell104,64,54,58,52,45,51,51,56,53,49,54,52,52,48,58
cell105,51,45,42,47,50,46,62,59,51,49,49,48,54,57,46
cell106,55,49,57,50,49,53,59,42,52,58,55,57,38,58,49
cell107,45,53,41,55,33,50,53,53,48,61,63,53,55,37,52
cell108,43,49,33,67,49,49,73,60,49,44,72,55,52,48,51
cell109,50,53,39,55,47,51,45,56,40,51,47,59,35,54,60
cell110,56,58,40,52,50,52,46,51,54,58,52,44,40,47,52
cell111,47,58,47,54,68,46,51,56,58,52,47,43,52,42,44
cell112,53,47,58,58,43,51,54,53,61,50,66,53,50,53,47
cell113,55,50,46,50,46,50,49,54,62,62,40,51,52,45,59
cell114,52,51,42,57,52,67,52,55,45,45,58,51,53,43,39
cell115,52,45,48,53,47,58,57,42,60,71,54,52,39,44,56
cell116,60,49,44,62,67,58,52,44,48,55,49,56,54,53,56
cell117,42,56,55,50,39,50,62,50,47,51,59,57,49,46,64
cell118,45,58,59,53,56,51,65,47,44,47,43,45,36,66,51
cell119,63,56,53,44,58,51,49,39,52,51,42,56,48,58,32
cell120,48,51,48,50,53,53,49,48,42,54,45,43,42,54,48
cell121,60,44,51,63,55,58,38,55,49,51,53,53,55,44,48
cell122,54,52,54,50,59,55,46,54,46,44,59,45,45,56,58
cell123,49,43,45,52,50,48,51,46,58,54,46,53,57,51,61
cell124,50,48,43,46,51,53,46,49,59,56,54,51,47,54,41
cell125,35,53,40,52,41,45,47,53,52,51,49,66,63,51,44
cell126,49,45,52,55,54,50,42,50,44,49,56,43,66,66,46
cell127,49,60,50,39,46,53,53,52,50,39,56,47,61,61,49
cell128,47,52,43,46,59,43,63,38,44,53,52,49,47,39,36
cell129,52,48,61,50,52,57,58,53,50,53,60,46,49,55,53
cell130,53,56,46,64,56,42,45,46,45,48,52,61,42,47,57
cell131,47,50,59,38,54,44,59,52,49,48,60,58,40,53,40
cell132,46,49,52,56,53,47,57,45,52,43,68,40,55,43,51
cell133,55,42,51,52,54,52,42,56,49,36,60,50,48,61,42
cell134,50,64,58,49,54,53,53,55,50,49,42,55,47,51,54
cell135,54,55,45,55,52,43,43,55,43,54,55,49,53,42,63
cell136,49,59,35,47,62,56,51,48,43,64,57,42,51,47,48
cell137,39,43,46,45,56,55,41,40,48,41,46,46,49,60,47
cell138,35,55,41,50,51,54,49,49,40,45,56,52,55,61,47
cell139,51,45,51,46,63,54,49,54,49,32,56,55,46,64,56
cell140,60,36,47,50,56,47,49,58,51,48,55,48,50,32,59
cell141,51,54,38,46,41,37,43,54,60,45,49,47,57,51,60
cell142,51,55,41,56,52,62,58,45,64,54,46,51,38,47,57
cell143,48,49,38,55,45,52,50,53,47,52,55,56,41,58,37
cell144,40,54,60,48,45,39,38,47,38,50,64,49,60,48,46
cell145,39,48,46,45,53,58,46,51,56,44,65,69,56,49,45
cell146,60,59,44,48,46,53,36,47,44,36,50,58,44,43,45
cell147,50,50,52,48,49,49,49,48,43,47,36,55,52,49,49
cell148,61,49,36,39,48,43,43,39,53,57,62,63,50,50,43
cell149,33,48,48,51,60,47,45,49,48,53,58,39,52,57,65
cell150,38,44,51,60,52,60,46,39,48,39,45,51,41,56,45
cell151,40,56,46,56,46,52,60,51,58,62,51,57,65,44,46
cell152,44,63,52,46,56,43,63,47,57,51,51,52,60,67,37
cell153,47,58,41,39,52,52,50,56,53,59,55,56,61,54,47
cell154,35,45,43,40,53,67,68,53,50,58,50,45,53,55,44
cell155,40,53,43,46,49,50,45,60,61,53,40,61,54,49,47
cell156,53,53,48,54,46,42,47,53,52,64,51,48,46,41,46
cell157,53,51,46,52,46,51,52,54,46,44,53,51,57,49,51
cell158,58,38,54,54,44,44,54,52,58,54,58,62,47,62,45
cell159,42,45,45,49,49,48,54,47,59,50,42,54,52,61,52
cell160,41,52,47,48,51,45,53,50,61,34,54,56,60,51,51
cell161,47,49,63,38,48,46,55,52,53,47,42,57,64,48,44
cell162,55,50,52,57,55,52,45,60,36,47,54,48,43,56,44
cell163,50,60,44,40,46,45,54,60,42,54,47,60,54,56,54
cell164,45,53,52,45,53,47,52,52,64,52,52,46,52,53,47
cell165,41,44,41,52,38,51,50,42,49,45,48,40,59,48,52
cell166,54,52,50,62,49,57,47,55,50,47,35,65,53,46,43
cell167,58,49,58,60,42,36,52,50,64,54,45,60,44,52,44
cell168,53,45,58,56,55,57,53,45,41,51,52,55,45,56,67
cell169,47,42,56,62,67,48,50,54,49,46,44,62,37,51,43
cell170,60,55,41,46,42,55,51,56,54,48,50,45,43,39,52
cell171,39,56,54,48,55,38,40,50,47,44,41,51,52,39,52
cell172,50,49,50,44,42,60,46,46,31,57,43,37,43,46,57
cell173,49,56,39,60,39,44,55,47,54,70,41,50,48,59,58
cell174,55,58,42,48,51,55,51,46,48,52,46,41,47,55,51
cell175,51,55,39,52,47,54,48,37,53,57,57,42,58,55,54
cell176,50,47,58,44,38,52,50,53,50,51,61,57,57,56,50
cell177,51,50,46,37,46,42,54,47,50,55,51,45,43,36,43
cell178,50,48,42,51,52,44,48,45,50,48,56,57,52,42,45
cell179,52,49,47,49,50,49,39,49,56,62,49,48,41,53,55
cell180,55,43,39,58,43,53,51,52,57,49,43,55,49,40,51
cell181,51,44,54,49,62,47,52,42,57,56,42,36,49,54,50
cell182,54,46,50,56,53,49,39,59,45,63,44,59,48,54,49
cell183,46,45,40,42,54,64,46,59,55,52,49,55,49,60,41
cell184,61,47,48,49,46,37,60,57,54,46,46,51,57,55,46
cell185,48,42,56,48,45,54,57,53,45,56,54,45,43,38,43
cell186,45,61,41,56,36,53,53,46,44,51,48,53,56,45,50
cell187,40,55,52,51,51,48,65,57,46,52,43,69,56,49,62
cell188,54,47,54,56,45,48,61,65,51,52,40,49,47,46,63
cell189,50,43,59,49,57,48,54,51,56,41,41,53,52,47,44
cell190,48,49,44,51,52,55,53,56,45,41,59,55,58,42,72
cell191,47,53,52,52,48,57,41,38,53,60,49,44,48,46,42
cell192,49,65,55,53,48,46,47,56,67,49,51,46,54,53,55
cell193,45,47,50,51,48,57,54,56,43,63,34,50,56,56,55
cell194,68,45,58,44,61,58,43,42,54,42,60,54,44,52,53
cell195,45,57,57,45,50,43,46,50,61,48,47,61,47,53,50
cell196,57,48,49,53,55,47,47,55,66,50,46,50,42,45,42
cell197,66,60,56,44,46,52,35,53,58,53,60,45,51,55,46
cell198,39,52,38,44,62,48,55,44,44,55,50,54,43,48,45
cell199,65,58,54,51,48,52,47,58,37,48,52,47,51,60,58
cell200,57,58,51,41,54,54,48,37,49,67,52,53,54,44,56
cell201,47,60,54,39,51,47,44,62,42,51,49,43,40,47,44
cell202,66,50,41,60,59,44,46,55,46,52,49,50,47,45,48
cell203,28,59,47,40,41,63,48,58,44,38,42,49,46,61,58
cell204,58,53,39,32,55,49,47,53,48,67,41,40,55,63,58
cell205,45,49,45,45,37,65,42,49,58,37,63,55,53,60,46
cell206,46,49,54,46,50,42,51,53,54,47,37,50,51,43,51
cell207,53,50,41,44,46,48,52,49,48,56,46,59,62,45,57
cell208,44,47,48,51,50,49,57,59,52,56,39,45,50,47,56
cell209,50,49,57,68,54,48,42,66,44,42,56,40,58,45,55
cell210,43,48,54,54,40,49,49,46,44,52,47,50,41,29,52
cell211,47,62,53,54,49,55,53,50,54,57,57,46,46,56,58
cell212,52,51,47,51,56,52,45,52,46,50,61,60,52,59,27
cell213,46,55,45,44,46,54,53,44,47,48,51,45,47,41,56
cell214,42,62,48,45,46,47,45,39,55,50,53,47,44,47,43
cell215,59,42,64,48,46,43,59,53,61,53,54,51,57,53,51
cell216,49,61,56,54,40,45,59,42,59,46,52,43,49,61,52
cell217,54,51,53,55,50,40,44,60,46,58,63,39,38,38,52
cell218,55,53,82,43,59,56,38,44,74,47,34,52,46,45,68
cell219,56,51,41,59,50,52,51,40,45,58,50,54,52,58,50
cell220,53,41,37,58,39,60,55,49,46,43,40,45,50,47,41
cell221,49,42,46,45,44,56,47,56,47,49,41,38,36,38,36
cell222,46,44,38,46,42,51,52,42,63,56,58,45,49,46,48
cell223,49,46,47,67,41,61,39,54,51,58,69,45,43,40,46
cell224,53,41,43,45,58,36,44,40,52,44,58,53,52,45,41
cell225,47,45,60,41,76,53,39,52,51,66,50,49,48,61,44
cell226,46,46,53,41,62,42,56,40,45,58,57,41,63,46,55
cell227,45,59,61,61,58,52,48,50,64,62,55,42,63,39,55
cell228,64,58,55,43,43,37,53,48,59,54,52,48,61,46,49
cell229,43,55,58,53,52,52,50,47,52,55,41,47,44,52,38
cell230,57,49,44,49,60,39,64,49,44,64,49,52,44,39,64
cell231,50,56,53,45,52,53,53,56,68,48,57,51,57,52,37
cell232,56,52,40,59,59,49,44,36,48,58,43,57,46,52,52
cell233,41,45,57,39,54,60,41,51,52,62,47,49,47,65,53
cell234,56,55,57,52,60,47,42,56,54,50,51,42,53,51,54
cell235,57,48,56,47,42,42,52,45,52,53,54,61,54,49,45
cell236,47,39,64,47,49,49,56,44,52,71,51,39,59,39,55
cell237,54,54,49,46,60,49,51,53,59,68,47,49,49,57,43
cell238,47,49,53,52,54,49,46,48,43,50,52,42,48,55,44
cell239,39,49,42,53,39,52,51,53,62,56,50,52,62,54,43
cell240,56,61,46,63,61,37,52,34,49,52,49,60,60,44,36
cell241,54,57,54,60,40,58,49,56,55,57,49,61,50,48,56
cell242,52,56,57,53,45,48,50,52,55,57,52,43,40,55,45
cell243,50,50,55,48,46,57,45,53,43,52,63,50,36,44,40
cell244,52,53,48,43,51,56,35,57,43,43,43,50,42,39,40
cell245,56,51,37,54,54,62,45,53,50,43,53,50,56,46,56
cell246,56,54,53,59,41,45,48,46,51,40,52,43,40,43,43
cell247,50,58,44,52,46,53,59,53,51,56,40,50,51,41,45
cell248,42,47,65,41,37,51,54,49,48,41,53,55,51,49,45
cell249,53,47,50,52,51,44,55,49,36,57,53,45,61,38,52
cell250,49,43,49,51,39,41,62,48,52,53,41,53,60,55,54
cell251,52,46,42,60,49,47,47,63,46,39,59,61,53,52,65
cell252,54,47,41,52,51,38,63,47,53,55,62,51,49,43,47
cell253,51,57,48,55,37,57,47,44,36,48,57,51,55,52,53
cell254,57,47,42,58,63,47,50,59,51,44,63,48,59,53,45
cell255,57,45,60,56,42,49,50,41,55,38,55,55,48,58,54
cell256,63,46,62,60,56,41,56,53,46,47,50,39,41,50,49
cell257,41,56,52,48,56,41,64,55,51,48,45,64,52,49,49
cell258,43,53,61,50,48,57,33,66,53,42,49,45,54,50,44
cell259,38,51,69,53,54,49,35,49,40,53,43,38,51,66,52
cell260,59,44,73,52,47,51,64,47,49,51,61,48,42,51,50
cell261,55,53,57,68,40,57,44,65,58,43,45,38,54,40,39
cell262,41,52,32,41,51,49,44,49,57,50,47,42,50,59,55
cell263,48,57,45,36,55,46,46,47,62,50,56,40,44,55,47
cell264,43,53,32,52,45,47,48,54,53,59,42,60,49,50,38
cell265,51,54,58,47,44,48,45,50,56,52,47,61,36,45,58
cell266,47,47,51,56,51,55,49,48,35,45,44,63,50,52,56
cell267,55,50,52,53,49,40,45,61,48,60,60,52,58,48,43
cell268,41,45,54,59,39,41,49,43,54,45,54,61,56,57,51
cell269,57,48,55,53,56,62,54,55,49,61,43,47,43,49,67
cell270,50,44,60,48,55,57,50,49,41,49,54,50,46,59,52
cell271,57,55,52,53,46,46,45,49,54,43,40,51,48,47,47
cell272,54,51,51,39,49,60,46,41,48,56,43,44,40,50,42
cell273,50,47,57,55,61,51,34,47,54,45,47,48,52,62,50
cell274,48,41,55,57,45,37,51,49,47,45,49,60,52,48,57
cell275,42,50,57,52,48,51,54,49,45,44,53,38,41,49,51
cell276,51,53,50,51,42,47,70,38,54,54,45,51,61,40,40
cell277,53,55,45,50,48,55,52,54,50,57,54,45,51,48,44
cell278,41,52,48,48,51,44,41,56,46,53,62,47,53,53,50
cell279,48,52,43,54,51,51,50,47,42,56,49,56,46,53,54
cell280,55,51,55,51,53,58,43,56,72,53,38,60,51,49,50
cell281,44,64,54,55,51,46,48,49,52,36,46,55,42,43,54
cell282,52,54,48,54,49,46,54,50,51,46,40,44,48,56,53
cell283,45,52,44,45,65,49,46,41,53,46,50,51,33,35,54
cell284,67,46,58,42,49,55,40,50,46,49,47,48,64,49,43
cell285,49,47,50,50,69,44,50,42,41,46,59,38,54,55,50
cell286,56,63,53,46,49,38,52,54,37,60,53,46,53,47,52
cell287,46,48,46,48,42,39,51,67,67,51,45,49,49,58,48
cell288,52,65,52,50,40,48,44,52,45,60,56,59,38,51,59
cell289,41,64,48,61,47,48,40,62,52,49,48,47,62,44,50
cell290,43,45,31,44,39,52,58,29,50,61,47,55,31,56,40
cell291,46,50,64,52,55,39,45,50,47,34,46,55,59,49,48
cell292,46,55,56,56,46,51,47,45,54,28,44,44,52,52,48
cell293,47,54,40,46,52,63,42,44,41,40,57,43,44,49,50
cell294,54,57,37,50,56,52,55,64,51,57,48,54,51,54,41
cell295,35,48,42,56,57,36,49,48,49,51,53,50,54,41,46
cell296,47,39,59,48,35,55,51,66,46,46,39,56,53,43,50
cell297,51,52,44,42,47,48,55,45,59,47,53,43,39,58,55
cell298,47,61,44,45,44,47,48,54,63,40,60,43,49,46,43
cell299,63,43,42,57,47,49,47,61,56,36,60,51,61,61,45
cell300,50,48,52,51,43,45,35,38,69,53,39,46,57,47,52
cell301,46,43,53,48,51,49,47,48,44,63,38,46,60,48,53
cell302,51,50,39,44,53,62,37,49,60,49,49,52,47,63,45
cell303,60,51,39,38,49,52,55,54,61,50,47,54,52,52,58
cell304,55,45,44,51,60,59,60,54,49,48,48,55,48,56,38
cell305,58,57,52,46,50,52,40,52,50,61,60,46,54,53,45
cell306,43,42,42,65,54,59,40,45,54,41,43,47,45,54,52
cell307,44,44,53,62,44,50,47,42,54,50,56,46,53,54,62
cell308,45,51,65,56,51,59,50,56,43,54,50,33,62,47,51
cell309,50,56,57,49,43,55,46,63,50,54,38,40,49,42,52
cell310,63,53,48,57,57,44,56,46,47,65,51,53,48,54,33
cell311,41,57,43,45,45,43,46,33,41,36,53,45,43,52,52
cell312,40,51,42,45,46,46,49,48,51,50,51,56,44,52,53
cell313,57,46,65,49,50,45,58,53,45,61,63,57,34,68,44
cell314,56,52,51,45,48,51,56,61,45,58,64,54,57,54,52
cell315,51,42,46,52,58,44,48,57,54,55,41,37,57,48,74
cell316,54,57,48,47,47,42,40,38,55,52,47,44,50,65,42
cell317,43,55,47,41,44,60,54,49,51,41,53,44,46,42,44
cell318,48,49,38,55,32,52,71,45,44,47,44,48,41,63,59
cell319,74,44,52,54,50,35,51,45,64,54,52,54,50,37,50
cell320,61,39,55,54,53,50,40,53,59,46,47,52,52,61,65
cell321,57,51,43,52,56,42,62,53,51,49,41,38,52,58,45
cell322,46,49,53,48,29,54,53,50,41,55,44,46,55,56,48
cell323,46,50,47,58,59,41,44,43,54,49,52,41,59,49,39
cell324,54,47,54,61,50,50,55,56,45,40,38,45,60,50,52
cell325,44,48,63,53,63,55,46,43,45,55,51,53,51,56,59
cell326,52,52,54,45,40,55,47,62,54,51,52,50,42,60,54
cell327,57,50,62,43,50,55,45,58,47,41,57,48,51,43,51
cell328,59,38,70,47,56,51,52,50,55,48,43,45,47,43,51
cell329,43,39,51,46,59,48,53,57,53,46,38,66,52,59,60
cell330,52,47,59,50,33,47,45,50,39,47,39,57,49,52,58
cell331,45,56,57,44,59,57,48,49,48,49,57,49,41,49,38
cell332,50,48,50,41,44,52,50,42,46,53,54,51,45,45,54
cell333,49,55,52,44,58,46,43,56,68,58,50,50,62,54,59
cell334,43,36,51,51,54,47,52,56,53,57,57,41,53,42,45
cell335,43,46,62,63,68,49,50,45,53,55,39,53,46,53,40
cell336,59,44,55,45,39,65,49,55,46,48,47,50,45,58,47
cell337,65,35,47,49,61,56,51,59,49,53,48,58,33,53,59
cell338,54,54,53,52,44,51,51,54,45,46,58,47,58,55,58
cell339,58,52,47,50,51,47,38,49,49,43,47,50,44,53,45
cell340,53,37,59,47,44,50,60,50,58,48,44,51,47,51,42
cell341,61,50,59,50,63,44,36,60,54,53,64,48,45,55,65
cell342,44,40,46,30,40,53,50,54,41,54,56,49,61,46,47
cell343,53,58,53,40,56,57,54,49,48,44,61,59,58,53,59
cell344,52,51,35,45,46,57,48,52,45,48,43,57,46,56,45
cell345,52,47,53,51,48,46,47,59,51,61,54,48,43,67,62
cell346,50,59,44,39,42,54,37,52,44,30,60,52,55,52,51
cell347,64,45,48,50,52,50,67,40,51,50,46,45,51,43,46
cell348,51,52,47,61,49,48,52,52,44,56,34,54,59,46,62
cell349,44,55,43,54,44,56,55,57,65,35,43,53,56,42,47
cell350,56,52,50,51,49,62,46,50,58,46,47,45,46,52,43
cell351,65,33,65,66,50,39,47,43,57,52,46,52,58,55,52
cell352,54,52,47,62,47,47,43,37,51,40,58,43,40,47,60
cell353,43,72,43,49,43,59,64,61,50,39,62,39,42,57,46
cell354,49,46,47,31,42,54,56,52,49,56,54,45,50,52,51
cell355,45,55,44,51,45,49,64,47,58,58,55,53,48,50,41
cell356,45,50,51,54,56,59,43,51,57,44,51,57,44,36,37
cell357,55,45,48,57,62,52,59,50,51,55,56,52,42,53,40
cell358,49,46,45,53,49,56,56,53,54,51,48,52,51,37,47
cell359,43,44,50,56,52,59,46,45,47,44,61,45,53,57,46
cell360,51,49,54,54,64,37,38,38,40,49,54,42,62,54,61
cell361,50,46,62,59,44,37,43,57,50,60,50,51,55,47,52
cell362,52,46,54,56,57,41,46,54,50,48,48,42,45,51,39
cell363,53,50,47,50,36,42,62,44,55,54,49,41,52,57,41
cell364,37,46,44,59,55,54,54,60,63,53,56,59,55,48,52
cell365,36,44,55,63,47,66,41,41,51,50,54,56,55,54,50
cell366,54,47,48,50,57,45,44,49,40,59,57,60,66,43,57
cell367,34,51,44,45,54,50,52,49,44,53,53,57,38,65,49
cell368,49,52,48,54,46,53,53,60,33,38,49,46,55,50,60
cell369,47,48,43,57,46,48,49,40,44,60,52,56,46,52,36
cell370,44,45,55,59,46,52,52,40,62,56,60,56,59,58,50
cell371,43,46,34,51,53,63,41,44,47,44,50,44,51,64,43
cell372,55,57,56,48,49,44,41,42,52,63,50,56,41,47,45
cell373,52,49,46,49,55,52,56,56,38,44,48,46,50,44,53
cell374,51,43,48,53,48,65,50,57,57,43,70,72,55,45,40
cell375,48,55,41,60,46,58,59,42,49,45,48,57,57,38,61
cell376,36,55,35,43,49,63,46,51,54,55,55,51,47,60,51
cell377,53,39,45,51,55,41,36,38,47,54,44,49,54,38,55
cell378,54,43,42,54,35,52,50,43,53,45,45,55,63,39,44
cell379,49,52,48,57,52,40,51,54,54,73,45,53,55,47,42
cell380,54,60,48,42,50,58,53,51,50,51,47,69,41,55,49
cell381,49,50,52,45,33,49,38,54,51,58,48,34,40,46,52
cell382,53,42,58,38,53,59,53,46,50,45,52,40,45,50,55
cell383,56,66,64,43,42,55,54,45,49,51,59,43,44,48,44
cell384,43,40,48,52,63,49,53,46,44,52,58,65,36,53,56
cell385,46,45,60,51,45,36,55,54,54,53,52,40,55,37,49
cell386,41,45,54,37,40,41,59,51,37,54,45,41,59,53,42
cell387,43,61,64,51,50,38,51,45,53,36,48,52,54,46,43
cell388,49,63,46,51,54,43,51,44,55,48,46,53,52,50,52
cell389,52,46,49,56,50,47,35,57,55,58,53,52,43,49,39
cell390,36,51,52,46,53,48,56,52,50,53,45,46,44,42,46
cell391,54,60,52,54,51,43,52,43,56,54,58,58,37,35,52
cell392,49,66,57,49,53,39,45,50,54,51,45,46,50,51,55
cell393,57,49,52,41,48,59,47,64,60,47,48,45,48,56,57
cell394,53,40,42,50,53,65,57,58,51,56,38,51,51,51,45
cell395,43,46,42,44,43,56,54,54,53,45,54,40,48,45,44
cell396,52,51,42,46,47,52,42,50,47,56,47,65,40,37,55
cell397,48,53,53,45,59,52,46,49,56,51,52,48,47,47,46
cell398,38,45,41,42,40,57,46,50,60,44,55,53,38,48,57
cell399,38,37,54,42,59,50,56,45,56,70,39,38,47,45,53
cell400,45,67,40,46,41,46,57,69,63,51,42,59,54,45,55
cell401,43,48,54,60,48,50,38,53,48,49,44,59,46,32,67
cell402,52,50,48,59,60,55,54,61,38,48,52,61,56,53,44
cell403,52,59,47,47,52,52,46,43,49,49,44,48,41,59,41
cell404,48,51,51,40,47,50,52,51,55,47,55,49,51,55,39
cell405,44,30,55,48,40,38,50,56,49,51,40,45,44,56,42
cell406,50,48,58,50,39,47,59,51,42,51,47,52,53,49,51
cell407,66,50,61,48,59,43,50,48,51,53,52,50,58,48,58
cell408,55,44,50,44,54,39,48,53,53,42,62,43,66,52,52
