,mut15,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14
cell77,47,46,54,45,37,45,55,51,34,44,47,52,51,61,47
cell78,46,56,52,44,42,61,41,48,42,44,49,35,23,53,44
cell79,56,46,45,58,51,42,46,48,45,49,58,47,59,59,46
cell80,54,60,48,59,44,52,39,54,42,46,43,58,53,51,46
cell81,53,44,50,60,47,60,55,52,47,59,47,48,52,40,43
cell82,52,60,45,61,41,54,47,44,56,55,51,37,47,46,39
cell83,56,45,45,49,36,58,49,61,50,45,49,56,51,52,56
cell84,39,47,54,53,61,52,45,44,50,56,58,47,46,52,65
cell85,58,51,46,61,45,44,48,56,52,64,65,50,56,45,41
cell86,49,62,45,38,55,50,54,53,59,34,44,57,54,52,42
cell87,52,45,54,49,50,43,50,46,48,51,59,50,41,68,41
cell88,44,44,58,42,53,60,43,50,56,42,44,50,51,50,44
cell89,42,62,50,49,61,61,51,58,46,47,41,39,51,44,52
cell90,54,47,49,47,68,51,54,59,56,61,49,53,60,45,63
cell91,51,57,34,51,55,46,47,47,49,59,54,53,51,46,42
cell92,57,53,53,39,55,52,54,40,40,48,48,50,47,44,61
cell93,45,58,49,64,47,50,51,39,50,63,52,54,39,47,52
cell94,48,35,45,53,47,55,68,46,52,56,45,52,61,43,51
cell95,40,49,49,52,56,60,42,62,50,45,56,48,40,55,52
cell96,37,47,50,60,47,61,56,50,50,55,65,44,44,41,39
cell97,50,61,45,41,59,50,51,47,48,53,55,60,47,43,57
cell98,53,34,38,44,41,55,45,51,41,54,54,58,55,51,44
cell99,53,51,51,44,31,46,47,55,55,64,43,37,44,51,47
cell100,57,56,55,47,51,50,26,52,52,50,52,39,37,47,46
