	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell28	0	36	45	0	51	0	54	0	52	1	3	49	57	0	35	0	50	0	43	7	45	3	46	1	38	6	48	0	39	14
cell29	1	62	24	23	44	0	49	9	44	0	52	0	51	0	48	0	33	16	39	6	51	0	51	0	45	1	47	0	49	2
cell30	0	43	48	0	69	0	47	0	53	0	4	48	59	1	41	5	41	0	28	22	46	0	53	0	56	0	40	5	57	1
cell31	2	47	5	26	44	0	55	0	29	30	44	0	54	0	39	0	51	3	39	0	46	3	43	0	48	0	45	1	48	1
cell32	0	43	57	0	47	0	57	2	40	10	4	44	35	0	9	35	50	0	54	6	65	0	53	0	48	0	42	0	62	0
cell33	0	60	49	0	43	0	39	0	43	0	34	11	53	1	50	0	44	0	48	1	50	0	47	0	49	0	51	0	47	3
cell34	4	58	1	60	42	0	50	2	4	42	52	0	45	0	53	1	44	0	50	0	24	14	53	0	55	0	43	0	60	1
cell35	3	43	22	27	46	0	49	0	20	37	33	0	56	2	64	0	49	0	66	1	16	37	49	0	36	4	39	3	52	0
cell36	0	49	49	3	42	1	47	1	53	0	37	19	42	0	47	0	54	0	31	9	52	0	53	0	46	0	40	0	48	0
cell37	0	45	48	0	47	0	70	0	52	0	5	39	52	0	41	0	55	0	34	18	62	0	24	20	49	15	46	0	52	0
cell38	0	47	8	43	50	0	48	0	29	18	52	1	51	1	53	0	43	0	54	0	37	11	60	0	48	1	18	27	52	0
cell39	0	40	39	6	53	1	38	1	58	0	53	0	54	0	54	2	47	0	57	0	42	0	51	4	47	0	60	0	45	0
cell40	0	64	33	14	45	1	53	2	44	0	53	0	49	3	45	0	13	37	47	0	52	0	45	0	45	0	47	5	44	5
cell41	0	46	13	35	44	0	55	0	18	33	47	0	61	0	48	0	43	0	64	0	46	0	50	0	58	0	56	0	52	0
cell42	0	59	9	35	51	0	46	0	50	0	48	0	50	2	51	0	52	0	41	0	46	0	53	0	47	0	30	0	40	1
cell43	0	50	37	12	56	0	43	0	29	0	47	0	53	0	51	0	45	0	56	0	44	0	50	0	51	0	57	0	38	1
cell44	0	43	7	31	49	0	45	3	27	24	45	0	46	2	62	0	52	0	51	0	37	12	49	0	36	0	51	7	52	0
cell45	0	50	44	2	62	0	53	0	52	0	54	0	54	1	46	0	45	3	54	0	65	0	53	0	50	0	38	1	48	0
cell46	0	39	37	0	52	0	44	0	44	5	6	34	47	3	18	35	43	1	45	0	53	0	48	0	47	0	51	2	40	1
cell47	0	38	32	21	40	0	43	1	49	0	41	1	62	2	47	1	32	15	54	0	37	0	40	0	61	0	55	4	51	0
cell48	0	36	44	2	44	0	49	0	52	0	8	45	50	0	60	0	55	1	29	16	47	5	42	2	49	4	43	0	56	0
cell49	0	49	28	32	43	1	53	0	36	13	54	0	48	0	43	0	53	8	52	0	58	0	53	0	52	0	54	0	47	0
cell50	0	36	48	0	43	0	44	0	56	0	5	41	55	0	55	0	49	0	64	0	50	0	53	2	46	0	51	0	52	0
