,mut15,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14
cell48,48,57,57,56,51,49,48,51,53,55,53,58,55,41,44
cell49,57,48,57,49,51,54,48,40,52,52,51,42,53,50,43
cell50,54,45,46,56,50,44,55,44,51,57,36,45,48,52,61
cell51,43,48,49,35,46,41,53,40,46,51,65,59,38,51,42
cell52,53,48,54,61,55,49,45,49,49,65,50,57,36,40,46
cell53,56,55,46,40,62,69,44,47,48,52,57,48,43,48,55
cell54,55,45,57,58,36,55,62,54,40,55,45,49,57,45,62
cell55,52,50,51,41,45,52,56,36,59,56,57,54,63,42,54
cell56,54,53,47,51,55,44,45,44,41,49,57,48,42,56,61
cell57,48,54,48,38,55,47,52,46,52,40,59,55,52,43,47
cell58,48,53,52,51,35,42,42,41,47,55,58,42,51,55,48
cell59,52,50,67,57,56,55,46,64,49,48,51,49,43,59,53
cell60,69,50,30,38,39,50,50,50,42,53,39,52,51,52,56
cell61,47,67,56,52,40,50,58,55,44,45,45,54,44,47,58
cell62,54,41,40,51,50,48,65,57,56,55,56,50,44,41,43
cell63,53,45,62,53,56,44,51,42,43,57,51,48,50,65,66
cell64,49,57,34,45,58,52,52,41,52,49,50,42,36,54,47
cell65,44,42,48,46,55,52,52,48,43,46,37,52,48,54,53
cell66,59,50,53,53,51,53,59,49,56,51,57,36,55,46,52
cell67,54,52,60,60,45,50,47,40,49,38,45,54,52,43,59
cell68,48,43,51,55,43,50,48,56,42,44,51,66,58,52,48
cell69,55,46,44,50,46,57,43,52,36,59,54,43,49,45,58
cell70,55,53,69,57,45,45,43,44,44,62,65,48,54,40,37
cell71,55,51,55,55,57,51,59,56,47,50,46,55,53,40,49
cell72,58,53,44,53,48,53,47,42,46,62,36,54,65,37,38
cell73,38,54,35,54,53,48,58,59,43,48,52,59,52,56,36
cell74,46,46,49,47,42,60,63,43,48,55,67,58,41,54,57
cell75,42,46,43,50,52,54,49,56,56,49,53,65,58,45,50
cell76,59,40,42,58,46,53,60,61,55,41,54,56,48,48,45
cell77,44,38,50,55,55,59,53,56,58,55,40,55,48,61,63
cell78,50,58,44,65,53,52,47,57,43,39,41,64,42,38,39
cell79,70,49,61,42,47,45,36,41,47,46,55,43,56,56,39
cell80,38,43,52,53,50,53,50,42,57,52,52,53,50,54,54
cell81,65,52,44,41,50,45,50,44,51,56,44,49,51,42,41
cell82,43,54,50,52,66,51,48,62,46,58,50,49,49,43,43
cell83,46,44,52,50,46,42,66,53,58,50,57,53,56,46,50
cell84,57,43,47,50,45,49,48,59,55,50,48,46,49,51,51
cell85,52,46,45,43,46,49,58,37,54,41,57,43,48,38,53
cell86,46,46,44,51,52,33,42,47,47,40,44,55,50,41,48
cell87,69,43,48,48,56,46,45,54,52,51,42,41,34,58,39
cell88,58,54,49,62,48,51,48,41,60,63,49,52,60,62,48
cell89,50,60,50,54,44,45,43,33,50,56,52,49,52,48,45
cell90,56,46,55,65,48,53,48,41,59,43,47,35,45,46,57
cell91,58,39,55,68,42,52,58,54,54,54,54,59,38,37,42
cell92,51,54,49,53,51,36,52,51,42,56,64,44,38,43,43
cell93,49,56,48,53,43,68,50,36,45,43,55,48,46,52,53
cell94,57,51,54,56,53,46,53,50,52,43,55,48,50,50,43
cell95,49,49,50,41,41,44,50,50,48,36,44,44,60,43,41
cell96,54,50,61,43,42,48,56,52,54,44,45,54,59,53,40
cell97,55,39,43,49,43,51,52,47,69,48,51,53,61,46,49
cell98,48,43,54,51,59,47,66,62,47,45,45,60,46,54,62
cell99,43,57,34,35,52,35,55,56,59,40,58,50,47,49,40
cell100,48,55,56,52,68,36,41,52,51,57,42,43,41,45,50
